,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024221,2024221,2024,89,9317,3649,3649,0,4343,0.0101,36130,60.2,0.392,1.6,-99,-99,-99,-99,-99,0,0,426,383,125,258,7,64,39,1,40,-99,106,3,11,80,101,88,0.097,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110414,110412,1047,0.0,32.4,33.8,74.7,-99,12.7,13.3,29.3,-99,232.9,87.8,91.2,34.4,104,20.3,10.7,18.2,16.1,420.5,287.5,275.4,-99,-99,2024-08-08
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024225,2024225,2024,89,9171,3497,3497,0,4191,0.0097,36134,60.2,0.381,1.6,-99,-99,-99,-99,-99,0,0,450,382,118,264,16,55,64,1,40,-99,110,1,9,79,105,92,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110412,110409,1049,0.0,29.4,33.4,77.8,-99,11.2,12.7,29.7,-99,229.3,83.2,87.4,31.7,108,19.8,10.2,17.2,16.1,420.5,311.7,274.8,-99,-99,2024-08-12
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024222,2024222,2024,89,9356,3649,3649,0,4343,0.0101,36133,60.2,0.39,1.6,-99,-99,-99,-99,-99,0,0,409,376,126,250,12,66,22,1,40,-99,97,3,12,72,92,79,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110500,110498,960,0.0,34.6,34.8,74.4,-99,13.5,13.6,29.0,-99,233.9,96.6,91.2,37.7,105,19.9,10.3,18.4,16.1,420.5,270.2,268.5,-99,-99,2024-08-09
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024226,2024226,2024,89,9598,3643,3643,0,4337,0.0101,36135,60.2,0.38,1.6,-99,-99,-99,-99,-99,0,0,495,395,126,268,20,49,98,1,40,-99,106,1,11,77,101,88,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12791,12791,0,0,110439,110437,1021,0.0,26.9,33.4,76.1,-99,10.2,12.7,28.9,-99,240.0,90.9,91.1,34.5,109,19.4,9.9,18.4,16.1,420.5,356.2,287.2,-99,-99,2024-08-13
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024221,2024221,2024,89,6916,3613,3613,0,4307,0.01,36132,60.2,0.522,1.6,-99,-99,-99,-99,-99,0,0,336,338,88,250,1,46,17,1,40,-99,73,1,30,62,69,56,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110604,110601,857,0.0,35.0,30.0,78.8,-99,18.3,15.7,41.2,-99,172.9,94.1,90.3,49.2,104,20.4,10.6,19.0,16.1,420.5,197.4,230.6,-99,-99,2024-08-08
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024226,2024226,2024,89,9690,3412,3412,0,4106,0.0094,36134,60.2,0.352,1.6,-99,-99,-99,-99,-99,0,0,405,379,121,259,3,46,43,1,40,-99,111,1,10,81,106,93,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110384,110382,1077,0.0,36.4,35.6,80.1,-99,12.8,12.5,28.2,-99,242.2,87.3,85.3,30.7,109,19.9,10.0,17.3,16.1,420.5,266.2,272.1,-99,-99,2024-08-13
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024221,2024221,2024,89,7289,3649,3649,0,4343,0.0101,36131,60.2,0.501,1.6,-99,-99,-99,-99,-99,0,0,358,350,96,254,1,46,27,1,40,-99,97,1,14,70,92,79,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110504,110502,956,0.0,33.2,30.1,76.0,-99,16.6,15.1,38.0,-99,182.2,75.4,91.2,37.8,104,20.3,10.4,18.9,16.1,420.5,219.6,242.5,-99,-99,2024-08-08
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024225,2024225,2024,89,6987,3495,3495,0,4188,0.0097,36135,60.2,0.5,1.6,-99,-99,-99,-99,-99,0,0,354,355,96,259,1,46,18,1,40,-99,93,1,17,71,89,76,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12797,0,0,110505,110502,956,0.0,32.4,28.2,72.5,-99,16.2,14.1,36.2,-99,174.7,74.9,87.4,37.5,108,19.6,9.9,17.3,16.1,420.5,215.4,247.8,-99,-99,2024-08-12
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024224,2024224,2024,89,9380,3455,3455,0,4149,0.0096,36133,60.2,0.368,1.6,-99,-99,-99,-99,-99,0,0,538,388,120,268,26,128,63,1,40,-99,111,7,7,84,106,93,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110364,110362,1097,0.0,23.5,33.4,77.9,-99,8.6,12.3,28.7,-99,234.5,84.4,86.4,31.1,107,20.2,10.3,17.6,16.1,420.5,399.5,281.0,-99,-99,2024-08-11
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024177,2024221,2024221,2024,89,9219,3649,3649,0,4343,0.0101,36132,60.2,0.396,1.6,-99,-99,-99,-99,-99,0,0,490,386,124,262,21,91,58,1,40,-99,110,4,7,81,105,93,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110399,110397,1062,0.0,26.2,33.0,74.2,-99,10.4,13.1,29.4,-99,230.5,83.6,91.2,33.1,104,20.3,10.6,18.2,16.1,420.5,351.4,279.1,-99,-99,2024-08-08
