,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024221,2024221,2024,89,9560,3509,3509,0,4205,0.0101,34742,57.9,0.367,1.6,-99,-99,-99,-99,-99,0,0,426,383,125,258,7,64,38,1,40,-99,106,3,11,79,101,88,0.098,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110413,110411,1047,0.0,33.3,34.6,76.2,-99,12.2,12.7,28.0,-99,239.0,90.5,87.7,33.2,104,20.3,10.7,18.2,16.1,420.5,287.5,275.9,-99,-99,2024-08-08
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024225,2024225,2024,89,9265,3367,3367,0,4063,0.0097,34745,57.9,0.363,1.6,-99,-99,-99,-99,-99,0,0,450,382,118,264,16,55,64,1,40,-99,110,1,9,79,105,92,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110411,110409,1049,0.0,29.7,33.7,78.2,-99,10.8,12.2,28.4,-99,231.6,84.3,84.2,30.7,108,19.8,10.2,17.2,16.1,420.5,311.7,274.9,-99,-99,2024-08-12
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024222,2024222,2024,89,9477,3509,3509,0,4205,0.0101,34744,57.9,0.37,1.6,-99,-99,-99,-99,-99,0,0,409,376,126,250,12,66,21,1,40,-99,96,3,13,72,91,78,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110500,110497,961,0.0,35.1,35.2,75.0,-99,13.0,13.0,27.8,-99,236.9,98.6,87.7,36.5,105,19.9,10.3,18.4,16.1,420.5,270.2,269.0,-99,-99,2024-08-09
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024226,2024226,2024,89,9717,3507,3507,0,4203,0.0101,34746,57.9,0.361,1.6,-99,-99,-99,-99,-99,0,0,495,395,127,268,20,49,98,1,40,-99,105,1,11,76,100,87,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12791,0,0,110439,110437,1022,0.0,27.3,33.8,76.7,-99,9.8,12.2,27.7,-99,242.9,92.3,87.7,33.3,109,19.4,9.9,18.4,16.1,420.5,356.2,287.3,-99,-99,2024-08-13
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024221,2024221,2024,89,6950,3479,3479,0,4175,0.01,34743,57.9,0.501,1.6,-99,-99,-99,-99,-99,0,0,336,338,88,250,1,46,17,1,40,-99,73,1,31,61,68,55,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12806,0,0,110603,110601,857,0.0,35.2,30.1,79.1,-99,17.6,15.1,39.6,-99,173.8,95.5,87.0,47.8,104,20.4,10.6,19.0,16.1,420.5,197.4,230.7,-99,-99,2024-08-08
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024226,2024226,2024,89,9846,3285,3285,0,3981,0.0095,34745,57.9,0.334,1.6,-99,-99,-99,-99,-99,0,0,405,380,121,258,3,46,43,1,40,-99,110,1,11,81,105,92,0.094,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110384,110382,1077,0.0,37.0,36.2,81.1,-99,12.3,12.1,27.1,-99,246.1,89.5,82.1,29.9,109,19.9,10.0,17.3,16.1,420.5,266.2,272.3,-99,-99,2024-08-13
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024221,2024221,2024,89,7353,3509,3509,0,4205,0.0101,34742,57.9,0.477,1.6,-99,-99,-99,-99,-99,0,0,358,350,96,254,1,46,27,1,40,-99,96,1,14,70,92,79,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110504,110501,957,0.0,33.5,30.3,76.5,-99,16.0,14.5,36.5,-99,183.8,76.3,87.7,36.4,104,20.3,10.4,18.9,16.1,420.5,219.6,242.5,-99,-99,2024-08-08
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024225,2024225,2024,89,7055,3365,3365,0,4061,0.0097,34746,57.9,0.477,1.6,-99,-99,-99,-99,-99,0,0,354,355,97,258,1,46,18,1,40,-99,93,1,17,70,89,76,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110505,110502,956,0.0,32.8,28.5,72.9,-99,15.6,13.6,34.7,-99,176.4,75.9,84.1,36.2,108,19.6,9.9,17.3,16.1,420.5,215.4,247.9,-99,-99,2024-08-12
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024224,2024224,2024,89,9574,3327,3327,0,4023,0.0096,34744,57.9,0.347,1.6,-99,-99,-99,-99,-99,0,0,538,388,121,268,26,127,63,1,40,-99,110,8,7,84,105,92,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110363,110361,1097,0.0,24.0,34.1,79.3,-99,8.3,11.8,27.5,-99,239.3,87.1,83.2,30.3,107,20.2,10.3,17.6,16.1,420.5,399.5,281.1,-99,-99,2024-08-11
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024112,2024117,2024177,2024220,2024220,2024,89,9512,3509,3509,0,4205,0.0101,34743,57.9,0.369,1.6,-99,-99,-99,-99,-99,0,0,490,385,124,261,21,91,60,1,40,-99,109,4,7,80,104,91,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110411,110409,1049,0.0,27.1,34.3,76.6,-99,10.0,12.7,28.3,-99,237.8,87.1,87.7,32.1,103,20.2,10.6,18.1,16.1,420.5,351.4,277.3,-99,-99,2024-08-07
