,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
26,27,27,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0262401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024223,2024223,2024,89,9050,3411,3411,0,4072,0.0101,33774,55.8,0.377,1.5,-99,-99,-99,-99,-99,0,0,388,377,118,259,10,46,21,1,40,-99,97,1,16,73,92,80,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12795,12795,0,0,110478,110476,981,0.0,36.3,34.2,76.9,-99,13.7,12.9,29.0,-99,226.3,93.5,85.3,35.2,105,19.8,10.2,18.2,16.1,420.5,249.0,264.7,-99,-99,2024-08-10
27,28,28,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0272401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024219,2024219,2024,89,7631,3411,3411,0,4072,0.0101,33774,55.8,0.447,1.5,-99,-99,-99,-99,-99,0,0,386,374,106,268,1,46,31,1,40,-99,103,1,14,76,98,86,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110431,110430,1027,0.0,30.9,29.2,72.3,-99,13.8,13.0,32.3,-99,190.8,74.4,85.3,33.3,101,20.5,10.8,18.6,16.2,420.5,247.0,261.4,-99,-99,2024-08-06
28,29,29,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0282401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,7316,3247,3247,0,3908,0.0096,33774,55.8,0.444,1.5,-99,-99,-99,-99,-99,0,0,373,363,100,263,1,46,28,1,40,-99,95,1,17,72,91,79,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110478,110476,980,0.0,31.3,29.2,73.3,-99,13.9,12.9,32.5,-99,182.9,76.7,81.2,34.1,106,19.7,10.1,17.6,16.1,420.5,233.9,250.9,-99,-99,2024-08-11
29,30,30,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0292401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,6607,3411,3411,0,4072,0.0101,33773,55.8,0.516,1.5,-99,-99,-99,-99,-99,0,0,361,350,92,258,1,46,31,1,40,-99,88,1,22,69,84,72,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110514,110513,944,0.0,29.7,27.8,72.1,-99,15.3,14.4,37.2,-99,165.2,74.9,85.3,38.7,103,20.1,10.6,17.9,16.1,420.5,222.7,237.5,-99,-99,2024-08-08
30,31,31,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0302401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024221,2024221,2024,89,7087,3411,3411,0,4072,0.0101,33772,55.8,0.481,1.5,-99,-99,-99,-99,-99,0,0,466,371,100,271,17,48,96,1,40,-99,102,1,15,76,98,86,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110439,110438,1019,0.0,21.6,27.4,70.7,-99,10.4,13.2,34.0,-99,177.2,69.4,85.3,33.4,103,20.2,10.7,17.9,16.1,420.5,327.7,258.5,-99,-99,2024-08-08
31,32,32,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0312401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,9475,3399,3399,0,4060,0.0101,33774,55.8,0.359,1.5,-99,-99,-99,-99,-99,0,0,436,384,118,267,10,46,61,1,40,-99,104,1,13,76,99,87,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110444,110442,1015,0.0,31.9,34.8,80.4,-99,11.4,12.5,28.8,-99,236.9,91.3,85.0,32.8,106,19.6,10.1,17.9,16.1,420.5,296.9,272.1,-99,-99,2024-08-11
32,33,33,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0322401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024222,2024222,2024,89,7436,3406,3406,0,4066,0.0101,33774,55.8,0.458,1.5,-99,-99,-99,-99,-99,0,0,335,347,93,253,1,46,7,1,40,-99,77,1,26,64,73,61,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12804,0,0,110565,110564,893,0.0,37.8,31.7,79.7,-99,17.3,14.5,36.5,-99,185.9,96.0,85.1,44.0,104,20.0,10.3,18.1,16.1,420.5,196.5,234.4,-99,-99,2024-08-09
33,34,34,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0332401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024219,2024219,2024,89,6441,3411,3411,0,4072,0.0101,33771,55.8,0.53,1.5,-99,-99,-99,-99,-99,0,0,371,361,93,268,2,46,29,1,40,-99,96,1,18,73,92,80,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12795,12795,0,0,110467,110466,991,0.0,27.7,25.9,69.5,-99,14.7,13.7,36.8,-99,161.0,67.0,85.3,35.5,101,20.7,11.0,18.2,16.2,420.5,232.2,248.3,-99,-99,2024-08-06
34,35,35,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0342401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024223,2024223,2024,89,7349,3410,3410,0,4070,0.0101,33773,55.8,0.464,1.5,-99,-99,-99,-99,-99,0,0,451,359,96,262,17,46,96,1,40,-99,103,1,12,74,99,87,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12793,0,0,110450,110448,1009,0.0,23.5,29.8,76.3,-99,10.9,13.8,35.4,-99,183.7,71.2,85.2,33.0,105,20.0,10.5,16.9,16.1,420.5,312.3,246.2,-99,-99,2024-08-10
35,36,36,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0352401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024116,2024118,2024177,2024224,2024224,2024,89,9270,3328,3328,0,3989,0.0099,33773,55.8,0.359,1.5,-99,-99,-99,-99,-99,0,0,459,383,117,266,13,65,63,1,40,-99,109,2,10,80,105,93,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110397,110396,1062,0.0,29.0,34.2,79.2,-99,10.4,12.3,28.4,-99,231.7,84.7,83.2,30.4,106,20.0,10.3,17.8,16.1,420.5,320.1,271.1,-99,-99,2024-08-11
