,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024214,2024214,2024,89,7638,4057,4057,0,4724,0.0101,40171,88.5,0.531,1.3,-99,-99,-99,-99,-99,0,0,415,370,116,254,7,55,48,1,40,-99,92,1,6,59,88,74,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110726,110725,733,0.0,24.9,26.8,65.6,-99,13.2,14.3,34.9,-99,190.9,82.8,101.4,44.0,111,19.1,9.3,17.8,16.0,419.6,306.7,284.5,-99,-99,1,2024-08-01
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024217,2024217,2024,89,7511,3860,3860,0,4526,0.0096,40174,88.5,0.514,1.3,-99,-99,-99,-99,-99,0,0,421,363,110,252,16,46,63,1,40,-99,87,0,9,56,83,69,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110758,110756,702,0.0,24.0,27.1,68.2,-99,12.3,13.9,35.0,-99,187.8,86.0,96.5,44.2,114,18.8,9.0,16.9,16.0,419.6,313.2,276.7,-99,-99,1,2024-08-04
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024215,2024215,2024,89,7595,4057,4057,0,4724,0.0101,40173,88.5,0.534,1.3,-99,-99,-99,-99,-99,0,0,409,362,116,246,12,58,44,1,40,-99,87,1,7,55,83,69,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12812,0,0,110767,110765,692,0.0,25.2,27.5,65.5,-99,13.5,14.7,35.0,-99,189.9,87.1,101.4,46.5,112,18.8,9.1,17.8,16.0,419.6,301.1,275.9,-99,-99,1,2024-08-02
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024217,2024217,2024,89,7777,4034,4034,0,4701,0.01,40175,88.5,0.519,1.3,-99,-99,-99,-99,-99,0,0,385,376,121,255,2,46,28,1,40,-99,87,0,8,55,82,68,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110770,110769,689,0.0,28.1,26.8,64.5,-99,14.6,13.9,33.5,-99,194.4,89.3,100.9,46.3,114,18.7,8.9,18.3,16.0,419.6,276.9,290.2,-99,-99,1,2024-08-04
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024214,2024214,2024,89,7501,4013,4013,0,4680,0.01,40172,88.5,0.535,1.3,-99,-99,-99,-99,-99,0,0,318,332,97,235,1,46,5,1,40,-99,67,0,19,46,62,48,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110869,110867,591,0.0,35.7,30.5,77.2,-99,19.1,16.3,41.3,-99,187.5,112.0,100.3,59.9,111,19.1,9.2,18.6,16.0,419.6,210.2,246.1,-99,-99,1,2024-08-01
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024218,2024218,2024,89,7697,3785,3785,0,4452,0.0094,40174,88.5,0.492,1.3,-99,-99,-99,-99,-99,0,0,404,369,110,259,3,46,53,1,40,-99,93,0,8,60,89,75,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110717,110715,742,0.0,26.0,27.2,70.3,-99,12.8,13.4,34.6,-99,192.4,82.6,94.6,40.6,115,18.8,8.9,16.9,16.0,419.6,296.2,283.0,-99,-99,1,2024-08-05
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024215,2024215,2024,89,7569,4057,4057,0,4724,0.0101,40172,88.5,0.536,1.3,-99,-99,-99,-99,-99,0,0,358,345,100,245,1,46,33,1,40,-99,77,0,15,50,73,59,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12818,0,0,110826,110824,633,0.0,30.2,29.2,75.7,-99,16.2,15.7,40.6,-99,189.2,97.9,101.4,52.5,112,19.0,9.1,18.2,16.0,419.6,250.5,259.0,-99,-99,1,2024-08-02
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024217,2024217,2024,89,7488,3933,3933,0,4600,0.0098,40175,88.5,0.525,1.3,-99,-99,-99,-99,-99,0,0,351,348,99,249,1,46,23,1,40,-99,78,0,14,51,73,59,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12817,0,0,110816,110814,643,0.0,30.7,28.6,75.6,-99,16.1,15.0,39.7,-99,187.2,96.4,98.3,50.6,114,18.6,8.9,16.9,16.0,419.6,243.6,262.0,-99,-99,1,2024-08-04
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024216,2024216,2024,89,7688,3846,3846,0,4513,0.0096,40173,88.5,0.5,1.3,-99,-99,-99,-99,-99,0,0,476,372,111,260,19,88,65,1,40,-99,94,1,6,60,89,75,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110717,110715,743,0.0,20.9,26.9,69.2,-99,10.4,13.5,34.6,-99,192.2,82.2,96.2,41.1,113,19.1,9.1,17.2,16.0,419.6,368.6,285.6,-99,-99,1,2024-08-03
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024098,2024103,2024169,2024214,2024214,2024,89,7649,4057,4057,0,4724,0.0101,40172,88.5,0.53,1.3,-99,-99,-99,-99,-99,0,0,450,367,116,251,18,76,56,1,40,-99,90,2,6,58,85,71,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110743,110741,717,0.0,22.3,27.2,66.2,-99,11.8,14.4,35.1,-99,191.2,84.9,101.4,45.0,111,19.1,9.3,17.7,16.0,419.6,342.6,281.1,-99,-99,1,2024-08-01
