,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0002401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024215,2024215,2024,89,5878,2583,2583,0,2941,0.02,12919,24.7,0.439,1.2,-99,-99,-99,-99,-99,0,0,289,326,86,240,0,18,10,1,40,-99,72,0,16,48,68,58,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12820,0,0,110826,110823,633,0.0,30.9,25.2,68.5,-99,13.6,11.1,30.1,-99,146.9,82.1,64.6,36.1,101,20.4,9.6,17.9,16.1,419.6,190.2,232.9,-99,-99,1,2024-08-02
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0012401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024213,2024213,2024,89,5892,2584,2584,0,2942,0.02,12920,24.7,0.439,1.2,-99,-99,-99,-99,-99,0,0,321,340,89,250,0,18,30,1,40,-99,81,0,13,53,78,68,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110768,110766,690,0.0,26.4,23.9,66.0,-99,11.6,10.5,29.0,-99,147.3,72.6,64.6,31.8,99,20.8,10.1,17.3,16.2,419.6,222.9,246.3,-99,-99,1,2024-07-31
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0022401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024214,2024214,2024,89,5898,2584,2584,0,2942,0.02,12919,24.7,0.438,1.2,-99,-99,-99,-99,-99,0,0,310,337,89,248,0,18,20,1,40,-99,77,0,15,52,74,64,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110786,110783,673,0.0,27.9,24.2,66.4,-99,12.2,10.6,29.1,-99,147.5,76.1,64.6,33.4,100,20.5,9.8,17.4,16.1,419.6,211.1,244.0,-99,-99,1,2024-08-01
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0032401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024212,2024212,2024,89,5860,2584,2584,0,2943,0.02,12920,24.7,0.441,1.2,-99,-99,-99,-99,-99,0,0,286,324,85,239,0,18,10,1,40,-99,71,0,17,49,68,58,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12819,12819,0,0,110820,110818,638,0.0,31.3,25.4,68.7,-99,13.8,11.2,30.3,-99,146.5,82.2,64.6,36.2,98,20.9,10.1,17.6,16.2,419.6,187.2,230.6,-99,-99,1,2024-07-30
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0042401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024213,2024213,2024,89,5873,2584,2584,0,2942,0.02,12919,24.7,0.44,1.2,-99,-99,-99,-99,-99,0,0,283,324,86,238,0,18,7,1,40,-99,71,0,17,48,68,58,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12819,0,0,110824,110821,634,0.0,31.9,25.5,68.6,-99,14.0,11.2,30.2,-99,146.8,82.2,64.6,36.2,99,20.8,9.9,17.7,16.2,419.6,184.1,230.6,-99,-99,1,2024-07-31
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0052401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024213,2024213,2024,89,5882,2584,2584,0,2942,0.02,12920,24.7,0.439,1.2,-99,-99,-99,-99,-99,0,0,346,343,89,254,0,18,51,1,40,-99,85,0,11,55,81,71,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110754,110751,705,0.0,23.8,23.6,66.0,-99,10.4,10.4,29.0,-99,147.1,69.4,64.6,30.5,99,20.9,10.3,17.3,16.2,419.6,247.3,249.4,-99,-99,1,2024-07-31
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0062401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024213,2024213,2024,89,5916,2584,2584,0,2942,0.02,12920,24.7,0.437,1.2,-99,-99,-99,-99,-99,0,0,342,336,90,247,5,18,49,1,40,-99,78,0,16,52,75,65,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110783,110781,675,0.0,24.3,24.4,66.1,-99,10.6,10.6,28.9,-99,147.9,75.6,64.6,33.0,99,20.8,10.1,17.4,16.2,419.6,243.5,242.9,-99,-99,1,2024-07-31
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0072401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024213,2024213,2024,89,5902,2584,2584,0,2943,0.02,12920,24.7,0.438,1.2,-99,-99,-99,-99,-99,0,0,322,337,89,248,0,18,32,1,40,-99,79,0,15,53,75,65,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110775,110773,683,0.0,26.4,24.2,66.2,-99,11.6,10.6,29.0,-99,147.5,74.8,64.6,32.8,99,20.9,10.2,17.4,16.2,419.6,223.3,244.1,-99,-99,1,2024-07-31
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0082401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024216,2024216,2024,89,6018,2496,2496,0,2854,0.0193,12919,24.7,0.415,1.2,-99,-99,-99,-99,-99,0,0,375,343,89,254,3,33,62,1,40,-99,85,1,9,54,81,71,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12813,0,0,110758,110755,700,0.0,21.7,24.1,67.5,-99,9.0,10.0,28.0,-99,150.5,71.1,62.4,29.5,102,20.5,9.7,17.1,16.1,419.6,277.0,249.8,-99,-99,1,2024-08-03
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0092401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024107,2024114,2024172,2024213,2024213,2024,89,5912,2584,2584,0,2942,0.02,12920,24.7,0.437,1.2,-99,-99,-99,-99,-99,0,0,318,341,90,251,0,18,25,1,40,-99,79,0,15,52,75,65,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110779,110777,679,0.0,27.0,23.9,65.8,-99,11.8,10.4,28.8,-99,147.8,75.3,64.6,32.9,99,20.8,10.1,17.7,16.2,419.6,219.3,247.5,-99,-99,1,2024-07-31
