,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0002401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024226,2024226,2024,89,6323,2532,2532,0,3082,0.02,12659,23.0,0.4,1.5,-99,-99,-99,-99,-99,0,0,337,351,86,265,1,17,34,1,40,-99,79,0,16,54,75,65,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12814,0,0,110749,110742,716,0.0,30.5,27.4,73.1,-99,12.2,11.0,29.3,-99,158.1,79.6,63.3,31.9,98,21.1,10.8,18.2,16.2,419.6,207.4,231.1,-99,-99,1,2024-08-13
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0012401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024221,2024221,2024,89,7640,2532,2532,0,3082,0.02,12660,23.0,0.331,1.5,-99,-99,-99,-99,-99,0,0,352,362,100,263,0,17,39,1,40,-99,90,0,11,61,86,76,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110668,110661,798,0.0,34.3,31.6,76.6,-99,11.4,10.5,25.4,-99,191.0,84.4,63.3,28.0,93,22.0,11.7,17.5,16.3,419.6,222.7,242.1,-99,-99,1,2024-08-08
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0022401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024224,2024224,2024,89,6901,2532,2532,0,3082,0.02,12659,23.0,0.367,1.5,-99,-99,-99,-99,-99,0,0,355,360,95,265,0,17,45,1,40,-99,89,0,11,59,85,75,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110689,110682,776,0.0,30.6,28.8,72.9,-99,11.2,10.6,26.8,-99,172.5,77.4,63.3,28.4,96,21.4,11.2,17.1,16.2,419.6,225.8,239.6,-99,-99,1,2024-08-11
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0032401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024220,2024220,2024,89,6152,2532,2532,0,3082,0.02,12659,23.0,0.412,1.5,-99,-99,-99,-99,-99,0,0,302,338,84,253,0,17,13,1,40,-99,74,0,20,53,70,59,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110753,110746,712,0.0,35.7,28.3,73.1,-99,14.7,11.6,30.1,-99,153.8,83.3,63.3,34.3,92,22.3,11.8,17.6,16.3,419.6,172.1,217.4,-99,-99,1,2024-08-07
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0042401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024222,2024222,2024,89,6150,2532,2532,0,3082,0.02,12659,23.0,0.412,1.5,-99,-99,-99,-99,-99,0,0,295,329,82,247,0,17,15,1,40,-99,66,0,23,49,62,51,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12819,12819,0,0,110800,110793,665,0.0,37.1,29.4,75.0,-99,15.3,12.1,30.9,-99,153.7,93.3,63.3,38.4,94,21.9,11.5,17.5,16.2,419.6,165.8,209.2,-99,-99,1,2024-08-09
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0052401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024220,2024220,2024,89,7433,2532,2532,0,3082,0.02,12659,23.0,0.341,1.5,-99,-99,-99,-99,-99,0,0,368,360,97,263,0,17,57,1,40,-99,94,0,11,63,89,76,0.071,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12805,0,0,110648,110642,817,0.0,31.2,31.0,76.4,-99,10.6,10.6,26.0,-99,185.8,79.5,63.3,27.1,92,22.2,11.9,17.1,16.3,419.6,238.3,239.7,-99,-99,1,2024-08-07
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0062401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024221,2024221,2024,89,7200,2532,2532,0,3082,0.02,12659,23.0,0.352,1.5,-99,-99,-99,-99,-99,0,0,355,358,99,259,5,17,42,1,40,-99,88,0,12,59,83,73,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110689,110682,777,0.0,31.9,30.3,73.0,-99,11.2,10.7,25.7,-99,180.0,82.1,63.3,28.9,93,22.1,11.7,17.8,16.3,419.6,225.4,237.5,-99,-99,1,2024-08-08
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0072401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024220,2024220,2024,89,6894,2532,2532,0,3082,0.02,12659,23.1,0.367,1.5,-99,-99,-99,-99,-99,0,0,355,359,95,264,1,17,44,1,40,-99,91,0,12,61,87,76,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12807,0,0,110671,110664,795,0.0,30.6,28.9,72.4,-99,11.2,10.6,26.6,-99,172.3,75.8,63.3,27.9,92,22.3,12.0,17.4,16.3,419.6,225.2,238.9,-99,-99,1,2024-08-07
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0082401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024228,2024228,2024,89,8051,2391,2391,0,2941,0.0189,12659,23.0,0.297,1.5,-99,-99,-99,-99,-99,0,0,436,367,100,267,4,54,77,1,40,-99,89,3,10,62,84,72,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110654,110647,812,0.0,26.3,32.6,80.2,-99,7.8,9.7,23.8,-99,201.3,90.0,59.8,26.7,100,21.3,11.0,16.7,16.2,419.6,306.1,246.8,-99,-99,1,2024-08-15
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0092401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024221,2024221,2024,89,7117,2532,2532,0,3082,0.02,12660,23.0,0.356,1.5,-99,-99,-99,-99,-99,0,0,341,359,96,263,0,17,31,1,40,-99,87,0,13,60,83,73,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12808,0,0,110682,110675,784,0.0,33.7,29.8,74.0,-99,12.0,10.6,26.3,-99,177.9,81.5,63.3,29.0,93,22.0,11.7,17.7,16.3,419.6,211.2,238.8,-99,-99,1,2024-08-08
10,11,11,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0102401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024221,2024221,2024,89,6220,2532,2532,0,3082,0.02,12659,23.0,0.407,1.5,-99,-99,-99,-99,-99,0,0,345,343,85,259,4,17,47,1,40,-99,78,0,18,54,74,63,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110743,110736,722,0.0,28.8,27.9,73.6,-99,11.7,11.3,29.9,-99,155.5,79.7,63.3,32.4,93,22.0,11.7,17.4,16.3,419.6,215.9,223.3,-99,-99,1,2024-08-08
11,12,12,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0112401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024223,2024223,2024,89,6192,2532,2532,0,3082,0.02,12659,23.0,0.409,1.5,-99,-99,-99,-99,-99,0,0,319,339,84,255,0,17,30,1,40,-99,76,0,18,53,72,61,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110756,110749,709,0.0,32.6,28.3,74.1,-99,13.3,11.6,30.3,-99,154.8,81.6,63.3,33.4,95,21.8,11.4,17.3,16.2,419.6,189.8,218.8,-99,-99,1,2024-08-10
12,13,13,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0122401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024222,2024222,2024,89,7508,2532,2532,0,3082,0.02,12659,23.0,0.337,1.5,-99,-99,-99,-99,-99,0,0,331,359,99,260,0,17,22,1,40,-99,89,0,11,60,85,74,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110676,110669,789,0.0,37.2,31.5,76.1,-99,12.5,10.6,25.7,-99,187.7,84.1,63.3,28.4,94,21.8,11.5,17.4,16.2,419.6,201.8,238.5,-99,-99,1,2024-08-09
13,14,14,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0132401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024223,2024223,2024,89,6384,2532,2532,0,3082,0.02,12659,23.0,0.397,1.5,-99,-99,-99,-99,-99,0,0,316,350,89,261,0,17,15,1,40,-99,78,0,18,56,74,64,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12812,0,0,110726,110720,739,0.0,34.2,27.8,71.7,-99,13.6,11.0,28.4,-99,159.6,81.8,63.3,32.4,95,21.9,11.6,17.1,16.2,419.6,186.4,229.8,-99,-99,1,2024-08-10
14,15,15,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0142401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024222,2024222,2024,89,6875,2532,2532,0,3082,0.02,12660,23.0,0.368,1.5,-99,-99,-99,-99,-99,0,0,479,358,94,265,24,69,95,1,40,-99,88,4,9,60,84,74,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110680,110673,786,0.0,19.6,28.9,73.5,-99,7.2,10.6,27.1,-99,171.9,77.7,63.3,28.6,94,21.9,11.7,17.3,16.2,419.6,349.9,238.2,-99,-99,1,2024-08-09
15,16,16,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0152401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024224,2024224,2024,89,7352,2518,2518,0,3068,0.0199,12659,23.0,0.342,1.5,-99,-99,-99,-99,-99,0,0,384,360,95,265,11,17,63,1,40,-99,92,0,11,62,87,76,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12806,0,0,110659,110652,807,0.0,28.8,30.6,77.4,-99,9.9,10.5,26.5,-99,183.8,79.9,62.9,27.4,96,21.7,11.4,16.9,16.2,419.6,254.9,240.1,-99,-99,1,2024-08-11
16,17,17,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0162401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024221,2024221,2024,89,6806,2532,2532,0,3082,0.02,12660,23.0,0.372,1.5,-99,-99,-99,-99,-99,0,0,364,358,94,264,6,17,49,1,40,-99,89,0,12,60,85,74,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12808,0,0,110682,110675,784,0.0,29.0,28.6,72.0,-99,10.8,10.6,26.8,-99,170.1,76.6,63.3,28.5,93,22.0,11.6,17.8,16.3,419.6,234.4,238.1,-99,-99,1,2024-08-08
17,18,18,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0172401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024222,2024222,2024,89,7685,2532,2532,0,3082,0.02,12659,23.0,0.329,1.5,-99,-99,-99,-99,-99,0,0,344,360,101,260,0,17,33,1,40,-99,87,0,14,59,83,72,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110689,110682,776,0.0,35.8,32.0,76.3,-99,11.8,10.5,25.1,-99,192.1,88.3,63.3,29.1,94,21.8,11.5,17.6,16.2,419.6,214.4,240.2,-99,-99,1,2024-08-09
18,19,19,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0182401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024223,2024223,2024,89,7538,2533,2533,0,3083,0.02,12659,23.0,0.336,1.5,-99,-99,-99,-99,-99,0,0,339,359,98,261,3,17,26,1,40,-99,88,0,11,59,84,73,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110690,110683,776,0.0,36.1,31.6,76.9,-99,12.1,10.6,25.8,-99,188.4,85.7,63.3,28.8,95,21.6,11.3,17.7,16.2,419.6,209.0,238.7,-99,-99,1,2024-08-10
19,20,20,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0192401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024222,2024222,2024,89,6749,2532,2532,0,3082,0.02,12660,23.0,0.375,1.5,-99,-99,-99,-99,-99,0,0,318,348,91,257,0,17,19,1,40,-99,77,0,20,55,73,62,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110729,110722,737,0.0,35.9,29.6,74.4,-99,13.5,11.1,27.9,-99,168.7,87.6,63.3,32.9,94,22.0,11.7,17.2,16.2,419.6,188.2,227.7,-99,-99,1,2024-08-09
20,21,21,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0202401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024121,2024128,2024183,2024224,2024224,2024,89,7863,2532,2532,0,3082,0.02,12659,23.0,0.322,1.5,-99,-99,-99,-99,-99,0,0,371,366,100,265,2,17,53,1,40,-99,93,0,10,62,88,77,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110654,110647,812,0.0,32.6,32.0,78.5,-99,10.5,10.3,25.3,-99,196.6,84.4,63.3,27.2,96,21.6,11.3,17.3,16.2,419.6,241.2,245.5,-99,-99,1,2024-08-11
