,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024229,2024229,2024,89,8023,3809,3809,0,4493,0.02,19047,29.7,0.475,2.0,-99,-99,-99,-99,-99,0,0,383,379,124,256,3,43,24,1,40,-99,84,0,14,56,79,64,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110742,110734,727,0.0,37.3,32.8,64.9,-99,17.7,15.6,30.8,-99,200.6,95.1,95.2,45.1,98,21.3,12.0,18.2,16.2,419.6,215.2,244.6,-99,-99,1,2024-08-16
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024227,2024227,2024,89,7950,3809,3809,0,4493,0.02,19044,29.7,0.479,2.0,-99,-99,-99,-99,-99,0,0,413,373,117,255,13,43,50,1,40,-99,90,0,10,58,84,69,0.079,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110713,110705,756,0.0,32.4,33.4,67.7,-99,15.5,16.0,32.4,-99,198.7,88.6,95.2,42.5,96,21.5,12.4,18.3,16.2,419.6,245.1,238.0,-99,-99,1,2024-08-14
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024231,2024231,2024,89,8489,3810,3810,0,4494,0.02,19049,29.7,0.449,2.0,-99,-99,-99,-99,-99,0,0,426,383,128,255,1,55,53,1,40,-99,103,1,6,69,97,82,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110594,110587,874,0.0,32.9,34.2,66.2,-99,14.7,15.3,29.7,-99,212.2,82.4,95.2,37.0,100,20.8,12.0,16.5,16.2,419.6,258.3,248.5,-99,-99,1,2024-08-18
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024228,2024228,2024,89,7226,3809,3809,0,4493,0.02,19045,29.7,0.527,2.0,-99,-99,-99,-99,-99,0,0,429,376,120,257,16,47,56,1,40,-99,101,0,9,68,95,80,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12800,0,0,110608,110601,860,0.0,27.6,29.9,60.4,-99,14.6,15.8,31.8,-99,180.6,71.8,95.2,37.9,97,21.2,12.4,16.5,16.2,419.6,261.4,241.4,-99,-99,1,2024-08-15
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024227,2024227,2024,89,7812,3809,3809,0,4493,0.02,19046,29.7,0.488,2.0,-99,-99,-99,-99,-99,0,0,423,392,131,262,8,43,47,1,40,-99,104,0,7,70,99,84,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110584,110577,885,0.0,30.5,30.4,59.8,-99,14.9,14.8,29.1,-99,195.3,74.9,95.2,36.5,96,21.8,12.5,17.7,16.2,419.6,255.8,257.3,-99,-99,1,2024-08-14
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024228,2024228,2024,89,8123,3809,3809,0,4493,0.02,19047,29.7,0.469,2.0,-99,-99,-99,-99,-99,0,0,463,397,128,268,9,63,62,1,40,-99,102,1,6,68,97,81,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12800,0,0,110601,110594,868,0.0,27.5,31.0,63.3,-99,12.9,14.6,29.7,-99,203.1,79.7,95.2,37.4,97,21.2,12.1,18.4,16.2,419.6,295.6,261.7,-99,-99,1,2024-08-15
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024230,2024230,2024,89,8363,3810,3810,0,4494,0.02,19050,29.7,0.456,2.0,-99,-99,-99,-99,-99,0,0,445,391,130,261,10,62,48,1,40,-99,103,2,7,71,98,82,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110576,110569,892,0.0,30.1,32.7,64.3,-99,13.7,14.9,29.3,-99,209.1,81.1,95.3,37.0,99,20.7,12.0,17.5,16.2,419.6,277.4,255.7,-99,-99,1,2024-08-17
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024232,2024232,2024,89,7150,3810,3810,0,4494,0.02,19051,29.7,0.533,2.0,-99,-99,-99,-99,-99,0,0,532,372,106,265,53,97,77,1,40,-99,90,3,6,58,85,69,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110717,110709,751,0.0,19.6,30.2,67.2,-99,10.5,16.1,35.8,-99,178.8,79.5,95.3,42.4,101,20.8,11.5,18.7,16.1,419.6,364.2,236.8,-99,-99,1,2024-08-19
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024241,2024241,2024,89,9017,3564,3564,0,4248,0.0187,19053,29.7,0.395,2.0,-99,-99,-99,-99,-99,0,0,352,372,121,251,0,43,3,1,40,-99,81,0,13,54,76,61,0.082,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12813,0,0,110758,110750,711,0.0,48.9,38.0,74.7,-99,19.3,15.0,29.5,-99,225.4,110.7,89.1,43.8,110,19.2,10.4,17.5,16.0,419.6,184.4,237.1,-99,-99,1,2024-08-28
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024227,2024227,2024,89,7956,3809,3809,0,4493,0.02,19046,29.7,0.479,2.0,-99,-99,-99,-99,-99,0,0,431,393,132,261,4,44,57,1,40,-99,103,0,6,69,98,83,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110596,110589,873,0.0,30.2,30.9,60.4,-99,14.5,14.8,28.9,-99,198.9,77.2,95.2,37.0,96,21.5,12.5,18.0,16.2,419.6,263.2,257.9,-99,-99,1,2024-08-14
