,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024226,2024226,2024,89,7687,3191,3191,0,3838,0.02,15953,25.2,0.415,1.7,-99,-99,-99,-99,-99,0,0,368,366,114,252,3,44,21,1,40,-99,79,0,15,53,74,61,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110774,110762,698,0.0,38.1,32.1,67.2,-99,15.8,13.3,27.9,-99,192.2,97.9,79.8,40.6,98,20.7,11.5,18.0,16.2,419.6,202.0,239.1,-99,-99,1,2024-08-13
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024224,2024224,2024,89,7598,3190,3190,0,3838,0.02,15950,25.2,0.42,1.7,-99,-99,-99,-99,-99,0,0,407,363,109,254,13,44,53,1,40,-99,81,0,16,54,76,63,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110757,110746,714,0.0,31.6,32.1,69.4,-99,13.3,13.5,29.1,-99,189.9,93.9,79.8,39.4,96,20.9,11.8,18.5,16.2,419.6,240.6,236.4,-99,-99,1,2024-08-11
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024227,2024227,2024,89,8352,3191,3191,0,3839,0.02,15954,25.2,0.382,1.7,-99,-99,-99,-99,-99,0,0,416,375,117,257,1,55,51,1,40,-99,96,1,9,64,91,79,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12804,0,0,110648,110638,823,0.0,33.5,33.7,71.2,-99,12.8,12.9,27.2,-99,208.8,87.0,79.8,33.2,99,20.3,11.4,16.9,16.2,419.6,249.6,247.7,-99,-99,1,2024-08-14
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024225,2024225,2024,89,6880,3190,3190,0,3838,0.02,15951,25.2,0.464,1.7,-99,-99,-99,-99,-99,0,0,419,366,107,259,16,48,56,1,40,-99,92,0,11,63,88,76,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110654,110643,818,0.0,27.2,28.8,64.0,-99,12.6,13.3,29.7,-99,172.0,74.4,79.8,34.5,97,20.7,11.8,16.6,16.2,419.6,252.8,239.3,-99,-99,1,2024-08-12
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024223,2024223,2024,89,7488,3190,3190,0,3838,0.02,15952,25.2,0.426,1.7,-99,-99,-99,-99,-99,0,0,414,377,117,260,8,44,51,1,40,-99,98,0,8,65,93,81,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110636,110626,835,0.0,30.2,29.9,64.0,-99,12.9,12.8,27.3,-99,187.2,76.7,79.8,32.7,95,21.1,11.9,17.5,16.2,419.6,247.7,250.2,-99,-99,1,2024-08-10
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024225,2024225,2024,89,7669,3191,3191,0,3838,0.02,15953,25.2,0.416,1.7,-99,-99,-99,-99,-99,0,0,456,383,114,269,9,62,68,1,40,-99,95,1,9,64,91,78,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12804,0,0,110649,110638,823,0.0,26.5,29.9,67.5,-99,11.0,12.5,28.1,-99,191.7,80.4,79.8,33.5,97,20.7,11.6,18.3,16.2,419.6,289.5,256.2,-99,-99,1,2024-08-12
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024227,2024227,2024,89,8035,3191,3191,0,3839,0.02,15956,25.2,0.397,1.7,-99,-99,-99,-99,-99,0,0,445,383,117,266,10,62,56,1,40,-99,99,2,8,68,94,81,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12800,0,0,110613,110603,859,0.0,28.8,31.3,68.7,-99,11.4,12.4,27.3,-99,200.9,81.5,79.8,32.4,99,20.3,11.6,17.3,16.2,419.6,279.0,256.5,-99,-99,1,2024-08-14
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024228,2024228,2024,89,6737,3191,3191,0,3839,0.02,15957,25.2,0.474,1.7,-99,-99,-99,-99,-99,0,0,521,361,97,264,53,65,109,1,40,-99,83,2,11,54,78,66,0.079,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110762,110750,710,0.0,19.0,28.8,69.8,-99,9.0,13.6,33.1,-99,168.4,81.3,79.8,38.5,100,20.4,11.0,19.0,16.2,419.6,354.8,233.9,-99,-99,1,2024-08-15
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024237,2024237,2024,89,8576,3023,3023,0,3671,0.0189,15959,25.2,0.353,1.7,-99,-99,-99,-99,-99,0,0,352,367,113,254,0,44,7,1,40,-99,78,0,15,53,73,61,0.081,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110769,110758,702,0.0,46.1,35.7,75.9,-99,16.3,12.6,26.7,-99,214.4,109.7,75.6,38.7,109,18.9,10.1,17.6,16.1,419.6,186.0,240.5,-99,-99,1,2024-08-24
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024122,2024128,2024188,2024223,2024223,2024,89,7509,3190,3190,0,3838,0.02,15952,25.2,0.425,1.7,-99,-99,-99,-99,-99,0,0,425,377,117,261,4,45,65,1,40,-99,97,0,9,64,92,80,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12804,0,0,110652,110642,819,0.0,29.0,30.0,64.4,-99,12.3,12.7,27.3,-99,187.7,77.7,79.8,33.0,95,21.0,11.9,18.1,16.2,419.6,258.9,250.4,-99,-99,1,2024-08-10
