,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0002401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024222,2024222,2024,89,8279,2859,2859,0,3416,0.02,14295,22.4,0.345,1.7,-99,-99,-99,-99,-99,0,0,400,352,116,236,4,29,80,1,40,-99,92,1,6,58,87,75,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110720,110715,744,0.0,27.5,31.7,71.1,-99,9.5,11.0,24.6,-99,207.0,90.4,71.5,31.2,105,19.8,10.3,17.2,16.1,419.6,301.2,261.1,-99,-99,1,2024-08-09
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0012401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024222,2024222,2024,89,9465,2859,2859,0,3416,0.02,14296,22.4,0.302,1.7,-99,-99,-99,-99,-99,0,0,399,358,130,228,12,50,45,1,40,-99,90,2,6,59,85,73,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110716,110711,748,0.0,31.5,35.5,72.9,-99,9.5,10.7,22.0,-99,236.6,105.0,71.5,31.7,105,19.8,10.2,17.8,16.1,419.6,300.7,266.9,-99,-99,1,2024-08-09
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0022401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024223,2024223,2024,89,7933,2783,2783,0,3341,0.0195,14296,22.4,0.351,1.7,-99,-99,-99,-99,-99,0,0,295,332,106,226,0,12,17,1,40,-99,76,0,14,49,71,58,0.071,-99,-99,-99,-99,-99,-99,-99,-99,0,12819,12819,0,0,110820,110815,644,0.0,40.3,32.9,74.8,-99,14.1,11.5,26.2,-99,198.3,105.1,69.6,36.9,106,19.6,10.0,17.8,16.1,419.6,197.0,241.1,-99,-99,1,2024-08-10
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0032401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024221,2024221,2024,89,9010,2859,2859,0,3416,0.02,14294,22.4,0.317,1.7,-99,-99,-99,-99,-99,0,0,421,346,119,227,8,70,63,1,40,-99,94,2,6,61,89,76,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110690,110685,774,0.0,27.9,35.4,75.8,-99,8.9,11.2,24.0,-99,225.3,96.3,71.5,30.6,104,19.7,10.7,16.3,16.2,419.6,322.8,254.4,-99,-99,1,2024-08-08
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0042401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024221,2024221,2024,89,9488,2859,2859,0,3416,0.02,14295,22.4,0.301,1.7,-99,-99,-99,-99,-99,0,0,348,351,129,221,9,15,40,1,40,-99,83,0,9,52,78,66,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110789,110783,675,0.0,38.0,36.6,73.3,-99,11.4,11.0,22.1,-99,237.2,114.4,71.5,34.5,104,19.8,10.3,17.6,16.2,419.6,249.7,259.3,-99,-99,1,2024-08-08
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0052401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024218,2024218,2024,89,8145,2859,2859,0,3416,0.02,14294,22.4,0.351,1.7,-99,-99,-99,-99,-99,0,0,355,350,117,233,3,12,55,1,40,-99,91,0,8,58,87,74,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110718,110712,746,0.0,31.8,31.5,69.8,-99,11.2,11.0,24.5,-99,203.6,89.4,71.5,31.4,101,20.4,10.8,17.5,16.2,419.6,256.0,258.7,-99,-99,1,2024-08-05
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0062401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024221,2024221,2024,89,8858,2859,2859,0,3416,0.02,14294,22.4,0.323,1.7,-99,-99,-99,-99,-99,0,0,404,346,118,228,12,48,64,1,40,-99,96,1,5,62,91,79,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110678,110673,786,0.0,29.0,34.8,74.9,-99,9.4,11.2,24.2,-99,221.4,92.4,71.5,29.8,104,19.8,10.8,16.2,16.2,419.6,305.2,254.5,-99,-99,1,2024-08-08
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0072401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024218,2024218,2024,89,8946,2859,2859,0,3416,0.02,14294,22.4,0.32,1.7,-99,-99,-99,-99,-99,0,0,369,351,123,228,3,14,68,1,40,-99,96,0,7,62,92,79,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12806,0,0,110682,110677,782,0.0,33.1,34.4,72.8,-99,10.6,11.0,23.3,-99,223.6,92.9,71.5,29.7,101,20.4,11.0,17.0,16.2,419.6,270.6,259.7,-99,-99,1,2024-08-05
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0082401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024217,2024217,2024,89,8365,2859,2859,0,3416,0.02,14293,22.4,0.342,1.7,-99,-99,-99,-99,-99,0,0,315,339,119,220,0,12,29,1,40,-99,92,0,8,60,87,75,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110700,110695,763,0.0,38.7,33.7,70.3,-99,13.2,11.5,24.0,-99,209.1,91.1,71.5,31.1,100,20.5,11.1,16.8,16.2,419.6,216.1,247.9,-99,-99,1,2024-08-04
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0092401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024113,2024117,2024178,2024221,2024221,2024,89,8028,2847,2847,0,3404,0.0199,14294,22.4,0.355,1.7,-99,-99,-99,-99,-99,0,0,354,342,115,226,1,12,65,1,40,-99,91,0,7,57,87,74,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110728,110723,735,0.0,31.4,32.0,69.6,-99,11.1,11.4,24.7,-99,200.7,87.9,71.2,31.2,104,19.7,10.5,16.7,16.2,419.6,255.6,250.5,-99,-99,1,2024-08-08
