,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0002401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024219,2024219,2024,89,8083,2861,2861,0,3395,0.02,14301,23.1,0.354,1.4,-99,-99,-99,-99,-99,0,0,390,346,106,240,4,18,88,1,40,-99,89,0,7,56,84,73,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110744,110740,717,0.0,27.5,31.1,76.3,-99,9.7,11.0,27.0,-99,202.1,91.3,71.5,32.3,103,19.8,10.1,17.5,16.2,419.6,293.8,260.0,-99,-99,1,2024-08-06
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0012401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024220,2024220,2024,89,8740,2860,2860,0,3394,0.02,14302,23.1,0.327,1.4,-99,-99,-99,-99,-99,0,0,399,350,113,236,13,50,53,1,40,-99,89,2,6,58,85,74,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110723,110719,738,0.0,28.9,33.2,77.1,-99,9.4,10.8,25.2,-99,218.5,97.8,71.5,32.0,104,19.7,10.1,17.7,16.1,419.6,302.7,263.6,-99,-99,1,2024-08-07
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0022401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024221,2024221,2024,89,7823,2814,2814,0,3348,0.0197,14302,23.1,0.36,1.4,-99,-99,-99,-99,-99,0,0,294,329,99,231,0,12,19,1,40,-99,75,0,14,48,70,59,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12820,0,0,110828,110824,633,0.0,39.6,32.2,79.3,-99,14.3,11.6,28.5,-99,195.6,104.9,70.4,37.7,105,19.6,9.8,17.8,16.1,419.6,197.4,243.1,-99,-99,1,2024-08-08
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0032401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024219,2024219,2024,89,8476,2860,2860,0,3394,0.02,14301,23.1,0.337,1.4,-99,-99,-99,-99,-99,0,0,421,342,107,235,8,70,68,1,40,-99,91,2,6,58,87,76,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12809,0,0,110713,110709,748,0.0,26.1,33.2,79.5,-99,8.8,11.2,26.8,-99,211.9,92.8,71.5,31.3,103,19.6,10.5,16.5,16.2,419.6,324.8,255.4,-99,-99,1,2024-08-06
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0042401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024219,2024219,2024,89,8878,2860,2860,0,3394,0.02,14301,23.1,0.322,1.4,-99,-99,-99,-99,-99,0,0,335,342,115,227,9,15,36,1,40,-99,83,0,8,52,79,68,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110789,110785,672,0.0,37.2,34.7,77.1,-99,12.0,11.2,24.8,-99,222.0,106.5,71.5,34.3,103,19.9,10.2,17.9,16.2,419.6,238.8,255.7,-99,-99,1,2024-08-06
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0052401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024216,2024216,2024,89,7925,2860,2860,0,3394,0.02,14300,23.1,0.361,1.4,-99,-99,-99,-99,-99,0,0,355,343,106,237,3,12,63,1,40,-99,88,0,9,56,84,72,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110743,110739,718,0.0,30.7,30.9,74.6,-99,11.1,11.1,26.9,-99,198.1,90.2,71.5,32.5,100,20.2,10.6,17.5,16.2,419.6,258.0,256.8,-99,-99,1,2024-08-03
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0062401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024219,2024219,2024,89,8368,2860,2860,0,3394,0.02,14300,23.1,0.342,1.4,-99,-99,-99,-99,-99,0,0,404,342,106,236,12,45,71,1,40,-99,94,1,6,60,89,78,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110699,110695,762,0.0,27.2,32.7,79.0,-99,9.3,11.2,27.0,-99,209.2,89.5,71.5,30.6,103,19.7,10.6,16.4,16.2,419.6,307.2,255.6,-99,-99,1,2024-08-06
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0072401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024216,2024216,2024,89,8330,2860,2860,0,3394,0.02,14301,23.1,0.343,1.4,-99,-99,-99,-99,-99,0,0,352,345,109,236,3,13,56,1,40,-99,93,0,7,60,89,77,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12808,0,0,110701,110697,761,0.0,32.7,32.2,76.2,-99,11.2,11.1,26.2,-99,208.2,89.7,71.5,30.8,100,20.4,10.8,17.2,16.2,419.6,255.1,258.7,-99,-99,1,2024-08-03
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0082401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024215,2024215,2024,89,7986,2860,2860,0,3394,0.02,14300,23.1,0.358,1.4,-99,-99,-99,-99,-99,0,0,315,332,105,227,0,12,36,1,40,-99,91,0,8,58,87,75,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110714,110711,747,0.0,36.6,32.4,75.9,-99,13.1,11.6,27.2,-99,199.6,87.9,71.5,31.5,99,20.3,10.9,16.8,16.2,419.6,218.1,246.2,-99,-99,1,2024-08-02
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0092401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024107,2024116,2024175,2024219,2024219,2024,89,7826,2860,2860,0,3394,0.02,14301,23.1,0.365,1.4,-99,-99,-99,-99,-99,0,0,348,338,105,234,1,12,63,1,40,-99,88,0,8,55,84,73,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110746,110742,715,0.0,31.2,31.1,74.8,-99,11.4,11.4,27.3,-99,195.7,88.8,71.5,32.4,103,19.7,10.4,17.0,16.2,419.6,251.1,251.9,-99,-99,1,2024-08-06
