,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,341,341,107,233,1,43,23,1,40,-99,75,0,13,46,69,56,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110877,110875,584,0.0,31.4,28.7,67.1,-99,18.0,16.5,38.6,-99,180.2,96.1,103.6,55.2,110,18.6,9.3,17.3,16.0,419.6,229.9,251.2,-99,-99,1,2024-07-31
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,323,337,107,230,1,43,9,1,40,-99,72,0,13,46,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110883,110881,578,0.0,34.0,29.1,67.1,-99,19.5,16.7,38.6,-99,180.2,99.6,103.6,57.2,110,18.6,9.3,17.4,16.0,419.6,211.9,247.8,-99,-99,1,2024-07-31
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,322,336,108,228,1,43,8,1,40,-99,72,0,14,46,66,52,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110885,110883,576,0.0,34.2,29.2,66.9,-99,19.7,16.8,38.4,-99,180.2,100.3,103.6,57.6,110,18.7,9.3,17.6,16.0,419.6,210.5,246.9,-99,-99,1,2024-07-31
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024215,2024215,2024,89,7215,4142,4142,0,4475,0.02,20710,35.6,0.574,1.9,-99,-99,-99,-99,-99,0,0,336,339,107,232,1,43,19,1,40,-99,75,0,12,47,70,56,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12821,0,0,110872,110869,590,0.0,32.1,28.9,67.2,-99,18.5,16.6,38.6,-99,180.4,95.8,103.6,55.0,112,18.4,9.1,17.1,16.0,419.6,224.5,249.7,-99,-99,1,2024-08-02
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,323,336,107,229,1,43,9,1,40,-99,72,0,13,46,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110883,110880,578,0.0,34.1,29.2,67.2,-99,19.6,16.8,38.6,-99,180.2,99.4,103.6,57.1,110,18.5,9.2,17.3,16.0,419.6,211.5,247.0,-99,-99,1,2024-07-31
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7208,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,342,343,108,236,1,43,21,1,40,-99,75,0,12,47,69,55,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12821,0,0,110875,110873,586,0.0,31.3,28.4,67.0,-99,18.0,16.3,38.5,-99,180.2,96.6,103.5,55.5,110,18.6,9.2,17.4,16.0,419.6,230.5,254.2,-99,-99,1,2024-07-31
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7208,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,328,337,107,229,1,43,13,1,40,-99,72,0,13,46,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110884,110882,577,0.0,33.3,29.1,67.2,-99,19.2,16.7,38.6,-99,180.2,99.7,103.5,57.3,110,18.5,9.2,17.3,16.0,419.6,216.2,247.4,-99,-99,1,2024-07-31
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,329,337,107,229,1,43,14,1,40,-99,72,0,13,46,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110882,110880,579,0.0,33.2,29.1,67.1,-99,19.1,16.7,38.5,-99,180.2,99.4,103.5,57.1,110,18.6,9.3,17.3,16.0,419.6,217.2,247.5,-99,-99,1,2024-07-31
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20711,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,326,337,108,229,1,43,11,1,40,-99,72,0,14,46,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110883,110881,578,0.0,33.7,29.1,66.8,-99,19.3,16.7,38.4,-99,180.2,99.5,103.6,57.2,110,18.6,9.2,17.5,16.0,419.6,214.1,247.6,-99,-99,1,2024-07-31
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024097,2024103,2024172,2024213,2024213,2024,89,7209,4142,4142,0,4475,0.02,20710,35.6,0.575,1.9,-99,-99,-99,-99,-99,0,0,322,336,107,228,1,43,8,1,40,-99,72,0,14,46,66,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110886,110884,575,0.0,34.2,29.2,67.1,-99,19.7,16.8,38.5,-99,180.2,100.2,103.6,57.6,110,18.5,9.2,17.4,16.0,419.6,210.5,246.6,-99,-99,1,2024-07-31
