,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0002401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024214,2024214,2024,89,7447,2565,2565,0,2956,0.02,12825,33.2,0.344,1.0,-99,-99,-99,-99,-99,0,0,362,344,91,253,6,19,60,1,40,-99,87,0,11,56,84,74,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110727,110724,732,0.0,26.9,29.1,81.4,-99,9.3,10.0,28.1,-99,186.2,85.3,64.1,29.4,105,19.5,9.4,16.7,16.1,419.6,277.0,255.8,-99,-99,1,2024-08-01
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0012401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024212,2024212,2024,89,7436,2565,2565,0,2956,0.02,12824,33.2,0.345,1.0,-99,-99,-99,-99,-99,0,0,358,346,92,254,4,19,56,1,40,-99,85,0,11,55,82,72,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110745,110742,713,0.0,27.2,28.9,81.0,-99,9.4,10.0,27.9,-99,185.9,87.0,64.1,30.0,103,19.6,9.4,17.0,16.1,419.6,273.7,257.6,-99,-99,1,2024-07-30
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0022401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024213,2024213,2024,89,7518,2559,2559,0,2950,0.02,12824,33.2,0.34,1.0,-99,-99,-99,-99,-99,0,0,310,337,92,245,1,19,20,1,40,-99,77,0,15,53,74,64,0.071,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110766,110763,693,0.0,33.4,30.3,81.9,-99,11.4,10.3,27.9,-99,188.0,97.1,64.0,33.0,104,19.8,9.5,17.1,16.1,419.6,225.4,248.4,-99,-99,1,2024-07-31
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0032401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024211,2024211,2024,89,6568,2565,2565,0,2956,0.02,12824,33.2,0.391,1.0,-99,-99,-99,-99,-99,0,0,333,333,85,248,3,19,45,1,40,-99,75,0,18,52,72,62,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110777,110774,681,0.0,26.4,26.8,77.1,-99,10.3,10.5,30.1,-99,164.2,87.1,64.1,34.0,102,19.8,9.6,16.9,16.1,419.6,248.6,245.0,-99,-99,1,2024-07-29
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0042401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024213,2024213,2024,89,7018,2565,2565,0,2956,0.02,12824,33.2,0.365,1.0,-99,-99,-99,-99,-99,0,0,311,332,87,245,1,19,25,1,40,-99,69,0,19,48,66,56,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12820,0,0,110820,110817,638,0.0,31.1,28.8,80.9,-99,11.4,10.5,29.6,-99,175.5,101.6,64.1,37.1,104,19.6,9.4,17.3,16.1,419.6,225.8,243.4,-99,-99,1,2024-07-31
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0052401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024210,2024210,2024,89,6394,2565,2565,0,2956,0.02,12824,33.2,0.401,1.0,-99,-99,-99,-99,-99,0,0,292,319,82,237,1,19,19,1,40,-99,62,0,23,46,59,49,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110840,110837,618,0.0,30.8,27.7,78.1,-99,12.4,11.1,31.3,-99,159.8,102.5,64.1,41.1,101,20.0,9.7,17.3,16.1,419.6,207.6,231.2,-99,-99,1,2024-07-28
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0062401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024216,2024216,2024,89,7804,2536,2536,0,2927,0.0198,12824,33.2,0.325,1.0,-99,-99,-99,-99,-99,0,0,364,344,94,250,6,43,37,1,40,-99,79,3,13,54,76,66,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12813,0,0,110751,110748,708,0.0,27.9,30.5,83.2,-99,9.1,9.9,27.0,-99,195.1,98.5,63.4,32.0,107,19.4,9.2,17.1,16.1,419.6,279.6,255.8,-99,-99,1,2024-08-03
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0072401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024212,2024212,2024,89,7250,2565,2565,0,2956,0.02,12824,33.2,0.354,1.0,-99,-99,-99,-99,-99,0,0,431,343,91,252,23,85,47,1,40,-99,79,6,9,55,76,66,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110747,110744,711,0.0,20.9,28.5,80.0,-99,7.4,10.1,28.3,-99,181.3,91.2,64.1,32.3,103,19.6,9.5,16.9,16.1,419.6,346.5,254.5,-99,-99,1,2024-07-30
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0082401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024214,2024214,2024,89,7235,2565,2565,0,2956,0.02,12825,33.2,0.355,1.0,-99,-99,-99,-99,-99,0,0,356,351,91,259,4,19,49,1,40,-99,87,0,11,57,84,74,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110719,110716,740,0.0,26.7,27.6,79.2,-99,9.5,9.8,28.1,-99,180.9,83.0,64.1,29.4,105,19.5,9.3,16.8,16.1,419.6,271.2,262.5,-99,-99,1,2024-08-01
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,W0092401,2024,JP_NRNP06A,43.991,144.118,30,2024001,2024104,2024109,2024170,2024212,2024212,2024,89,7412,2565,2565,0,2956,0.02,12825,33.2,0.346,1.0,-99,-99,-99,-99,-99,0,0,334,341,90,251,1,19,39,1,40,-99,85,0,11,56,82,72,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110728,110725,730,0.0,29.8,29.3,82.2,-99,10.3,10.1,28.5,-99,185.3,87.1,64.1,30.1,103,19.6,9.5,16.7,16.1,419.6,249.0,253.3,-99,-99,1,2024-07-30
