,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
216,217,19,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2162401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024224,2024224,2024,89,6347,3812,3812,0,4407,0.0183,20859,35.6,0.601,1.4,-99,-99,-99,-99,-99,0,0,360,362,91,271,0,30,34,1,40,-99,103,0,13,75,98,86,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110424,110419,1041,0.0,28.6,26.7,69.9,-99,17.2,16.1,42.0,-99,158.7,61.6,95.3,37.0,97,21.2,11.6,17.9,16.2,420.5,221.7,237.5,-99,-99,2024-08-11
217,218,20,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2172401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024224,2024224,2024,89,7180,3880,3880,0,4474,0.0186,20859,35.6,0.54,1.4,-99,-99,-99,-99,-99,0,0,444,373,103,270,17,82,38,1,40,-99,105,8,11,84,101,88,0.097,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12784,0,0,110349,110344,1117,0.0,23.5,28.9,69.6,-99,12.7,15.6,37.6,-99,179.5,68.3,97.0,36.9,97,21.5,12.2,17.4,16.2,420.5,306.1,248.6,-99,-99,2024-08-11
218,219,21,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2182401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024224,2024224,2024,89,7688,3880,3880,0,4475,0.0186,20859,35.6,0.505,1.4,-99,-99,-99,-99,-99,0,0,451,382,106,277,27,48,61,1,40,-99,114,2,9,84,109,97,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12784,0,0,110343,110338,1123,0.0,24.5,29.8,72.8,-99,12.4,15.1,36.8,-99,192.2,67.3,97.0,34.0,97,21.3,11.8,17.7,16.2,420.5,313.2,257.8,-99,-99,2024-08-11
219,220,22,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2192401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,7480,3881,3881,0,4476,0.0186,20860,35.6,0.519,1.4,-99,-99,-99,-99,-99,0,0,439,375,101,274,5,57,69,1,40,-99,115,2,8,84,110,98,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110343,110338,1122,0.0,24.9,29.9,74.4,-99,12.9,15.5,38.6,-99,187.0,65.1,97.0,33.8,99,20.8,11.6,16.7,16.2,420.5,301.0,250.1,-99,-99,2024-08-13
220,221,23,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2202401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024227,2024227,2024,89,7662,3880,3880,0,4475,0.0186,20860,35.6,0.506,1.4,-99,-99,-99,-99,-99,0,0,346,363,106,257,3,30,17,1,40,-99,83,0,24,67,79,66,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110524,110518,942,0.0,36.9,32.2,72.3,-99,18.7,16.3,36.6,-99,191.6,92.1,97.0,46.6,100,20.8,11.4,17.8,16.2,420.5,207.7,238.0,-99,-99,2024-08-14
221,222,24,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2212401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024227,2024227,2024,89,6375,3860,3860,0,4455,0.0185,20860,35.6,0.606,1.4,-99,-99,-99,-99,-99,0,0,311,342,84,258,0,30,5,1,40,-99,69,0,32,62,65,52,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110580,110574,885,0.0,36.9,29.3,76.3,-99,22.3,17.7,46.2,-99,159.4,92.1,96.5,55.8,100,20.8,11.2,18.5,16.2,420.5,172.8,217.6,-99,-99,2024-08-14
222,223,25,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2222401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024226,2024226,2024,89,5320,2822,2822,0,3416,0.0135,20860,35.6,0.53,1.4,-99,-99,-99,-99,-99,0,0,299,329,73,255,0,30,6,1,40,-99,58,0,42,60,54,41,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110606,110600,859,0.0,33.1,26.1,72.4,-99,17.6,13.8,38.4,-99,133.0,91.7,70.5,48.6,99,21.0,11.4,18.7,16.2,420.5,160.6,204.0,-99,-99,2024-08-13
223,224,26,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2232401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024227,2024227,2024,89,6513,3880,3880,0,4475,0.0186,20860,35.6,0.596,1.4,-99,-99,-99,-99,-99,0,0,410,364,91,273,20,30,63,1,40,-99,103,0,12,74,99,86,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110434,110428,1031,0.0,23.9,27.2,71.5,-99,14.2,16.2,42.6,-99,162.8,63.1,97.0,37.6,100,20.7,11.2,18.1,16.2,420.5,272.3,239.6,-99,-99,2024-08-14
224,225,27,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2242401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024227,2024227,2024,89,6242,3729,3729,0,4324,0.0179,20860,35.6,0.597,1.4,-99,-99,-99,-99,-99,0,0,381,349,83,266,5,30,63,1,40,-99,83,0,24,67,78,66,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110522,110516,943,0.0,25.7,27.8,75.2,-99,15.4,16.6,44.9,-99,156.1,75.1,93.2,44.9,100,20.7,11.3,17.4,16.2,420.5,242.8,224.9,-99,-99,2024-08-14
225,226,28,1,0,1,BA,CSCER048,ABSR2403,Sim1,-99,S2252401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024120,2024127,2024184,2024224,2024224,2024,89,6630,3880,3880,0,4475,0.0186,20859,35.6,0.585,1.4,-99,-99,-99,-99,-99,0,0,371,363,88,275,6,30,38,1,40,-99,96,0,17,71,91,79,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110465,110459,1001,0.0,28.5,27.8,75.7,-99,16.7,16.3,44.3,-99,165.7,69.3,97.0,40.6,97,21.1,11.7,18.4,16.2,420.5,232.7,238.2,-99,-99,2024-08-11
