,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024219,2024219,2024,89,8088,4286,4286,0,5031,0.0186,23045,29.3,0.53,2.5,-99,-99,-99,-99,-99,0,0,374,377,138,239,7,30,27,1,40,-99,110,0,9,78,104,88,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110431,110426,1034,0.0,33.0,30.7,58.5,-99,17.5,16.2,31.0,-99,202.2,73.7,107.2,39.1,102,20.8,11.0,18.0,16.1,420.5,244.8,263.8,-99,-99,2024-08-06
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024220,2024220,2024,89,7924,4286,4286,0,5031,0.0186,23044,29.3,0.541,2.5,-99,-99,-99,-99,-99,0,0,379,371,131,240,4,30,41,1,40,-99,112,0,8,79,107,91,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110420,110416,1045,0.0,31.7,30.7,60.3,-99,17.1,16.6,32.6,-99,198.1,70.5,107.2,38.1,103,20.7,11.0,17.6,16.1,420.5,250.1,258.2,-99,-99,2024-08-07
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024223,2024223,2024,89,9392,4286,4286,0,5031,0.0186,23044,29.3,0.456,2.5,-99,-99,-99,-99,-99,0,0,353,373,137,236,2,30,15,1,40,-99,97,0,13,70,91,75,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110526,110522,939,0.0,42.0,36.2,68.8,-99,19.2,16.5,31.4,-99,234.8,96.8,107.2,44.2,106,20.4,10.6,18.0,16.1,420.5,223.6,259.6,-99,-99,2024-08-10
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024224,2024224,2024,89,9573,4287,4287,0,5031,0.0186,23047,29.3,0.448,2.5,-99,-99,-99,-99,-99,0,0,460,390,147,242,16,63,57,1,40,-99,116,2,7,83,110,94,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12785,12785,0,0,110381,110376,1085,0.0,28.9,34.6,64.9,-99,13.0,15.5,29.1,-99,239.3,82.7,107.2,37.0,107,20.1,10.5,17.8,16.1,420.5,330.8,276.6,-99,-99,2024-08-11
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024222,2024222,2024,89,6556,3573,3573,0,4317,0.0155,23048,29.3,0.545,2.5,-99,-99,-99,-99,-99,0,0,301,325,92,233,0,30,13,1,40,-99,66,0,32,58,61,44,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110662,110657,803,0.0,38.1,31.0,71.3,-99,20.8,16.9,38.8,-99,163.9,99.5,89.3,54.2,105,20.4,10.5,18.2,16.1,420.5,172.0,211.7,-99,-99,2024-08-09
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024224,2024224,2024,89,7301,4279,4279,0,5024,0.0186,23048,29.3,0.586,2.5,-99,-99,-99,-99,-99,0,0,357,367,118,248,1,30,26,1,40,-99,107,0,9,76,102,86,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110457,110452,1008,0.0,32.1,28.8,61.7,-99,18.8,16.9,36.1,-99,182.5,68.3,107.0,40.0,107,20.0,10.3,17.9,16.1,420.5,227.6,253.6,-99,-99,2024-08-11
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024227,2024227,2024,89,9673,4007,4007,0,4752,0.0174,23049,29.3,0.414,2.5,-99,-99,-99,-99,-99,0,0,459,385,140,244,17,62,62,1,40,-99,116,2,6,83,110,94,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12786,12785,0,0,110384,110380,1081,0.0,29.3,35.6,68.9,-99,12.1,14.7,28.5,-99,241.8,83.4,100.2,34.5,110,19.8,10.2,17.3,16.1,420.5,330.3,271.8,-99,-99,2024-08-14
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024221,2024221,2024,89,7872,4209,4209,0,4954,0.0183,23044,29.3,0.535,2.5,-99,-99,-99,-99,-99,0,0,340,363,127,236,0,30,13,1,40,-99,101,0,12,74,96,80,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110480,110475,985,0.0,37.4,31.5,61.8,-99,20.0,16.8,33.1,-99,196.8,77.9,105.2,41.7,104,20.5,10.8,17.9,16.1,420.5,210.6,249.9,-99,-99,2024-08-08
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024223,2024223,2024,89,9358,4286,4286,0,5031,0.0186,23045,29.3,0.458,2.5,-99,-99,-99,-99,-99,0,0,489,387,143,245,23,82,63,1,40,-99,115,2,6,82,109,93,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12786,12786,0,0,110393,110389,1072,0.0,26.0,34.1,65.6,-99,11.9,15.6,30.0,-99,234.0,81.5,107.2,37.3,106,20.3,10.6,17.6,16.1,420.5,359.9,274.3,-99,-99,2024-08-10
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024115,2024117,2024180,2024224,2024224,2024,89,7891,4287,4287,0,5031,0.0186,23046,29.3,0.543,2.5,-99,-99,-99,-99,-99,0,0,381,366,120,246,3,30,48,1,40,-99,105,0,14,76,99,83,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110450,110446,1015,0.0,31.3,31.1,65.6,-99,17.0,16.9,35.7,-99,197.3,75.5,107.2,41.0,107,20.2,10.5,17.7,16.1,420.5,251.8,253.4,-99,-99,2024-08-11
