,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024219,2024219,2024,89,8279,4340,4340,0,5100,0.0186,23333,29.0,0.524,2.7,-99,-99,-99,-99,-99,0,0,374,378,144,234,7,30,26,1,40,-99,110,0,9,79,105,88,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12789,0,0,110433,110427,1035,0.0,33.7,30.6,57.7,-99,17.6,16.1,30.2,-99,207.0,75.1,108.5,39.4,103,20.8,10.9,18.0,16.1,420.5,245.9,270.2,-99,-99,2024-08-06
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024219,2024219,2024,89,8066,4340,4340,0,5100,0.0186,23332,29.0,0.538,2.7,-99,-99,-99,-99,-99,0,0,379,369,137,232,4,30,44,1,40,-99,112,0,8,78,106,90,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110437,110431,1030,0.0,32.1,30.9,59.0,-99,17.3,16.6,31.7,-99,201.7,72.1,108.5,38.8,103,20.7,10.9,17.6,16.1,420.5,251.2,260.8,-99,-99,2024-08-06
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024222,2024222,2024,89,9650,4274,4274,0,5034,0.0183,23333,29.0,0.443,2.7,-99,-99,-99,-99,-99,0,0,353,372,142,231,2,30,16,1,40,-99,99,0,11,70,93,76,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110533,110527,935,0.0,42.9,36.5,68.2,-99,19.0,16.2,30.2,-99,241.3,97.7,106.8,43.3,106,20.4,10.5,18.2,16.1,420.5,224.7,264.4,-99,-99,2024-08-09
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024223,2024223,2024,89,9661,4330,4330,0,5090,0.0186,23335,29.0,0.448,2.7,-99,-99,-99,-99,-99,0,0,460,388,152,236,16,62,60,1,40,-99,115,2,6,82,109,92,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12786,12786,0,0,110393,110387,1075,0.0,29.1,34.5,63.7,-99,13.0,15.5,28.5,-99,241.5,84.1,108.3,37.7,107,20.1,10.4,17.9,16.1,420.5,331.9,280.3,-99,-99,2024-08-10
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024222,2024222,2024,89,6816,3806,3806,0,4567,0.0163,23337,29.0,0.558,2.7,-99,-99,-99,-99,-99,0,0,301,326,96,229,0,30,12,1,40,-99,69,0,29,58,64,47,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110664,110658,803,0.0,39.4,31.3,71.0,-99,22.0,17.5,39.6,-99,170.4,98.6,95.2,55.1,106,20.5,10.5,18.2,16.1,420.5,173.1,217.8,-99,-99,2024-08-09
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024224,2024224,2024,89,7557,4340,4340,0,5101,0.0186,23336,29.0,0.574,2.7,-99,-99,-99,-99,-99,0,0,357,367,124,243,1,30,25,1,40,-99,107,0,9,76,102,85,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110458,110453,1009,0.0,33.0,29.1,60.9,-99,19.0,16.7,35.0,-99,188.9,70.4,108.5,40.4,108,20.0,10.2,18.0,16.1,420.5,228.7,259.7,-99,-99,2024-08-11
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024226,2024226,2024,89,9683,4055,4055,0,4816,0.0174,23337,29.0,0.419,2.7,-99,-99,-99,-99,-99,0,0,459,382,146,237,17,61,65,1,40,-99,116,1,5,82,110,94,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12786,12786,0,0,110397,110391,1071,0.0,29.2,35.3,66.5,-99,12.2,14.8,27.8,-99,242.1,83.5,101.4,35.0,110,19.9,10.2,17.3,16.1,420.5,331.4,274.4,-99,-99,2024-08-13
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024221,2024221,2024,89,8108,4324,4324,0,5085,0.0185,23333,29.0,0.533,2.7,-99,-99,-99,-99,-99,0,0,340,364,133,231,0,30,12,1,40,-99,102,0,12,74,96,80,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110481,110476,986,0.0,38.3,31.7,61.0,-99,20.4,16.9,32.5,-99,202.7,79.7,108.1,42.5,105,20.6,10.7,18.0,16.1,420.5,211.7,256.2,-99,-99,2024-08-08
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024222,2024222,2024,89,9570,4340,4340,0,5100,0.0186,23334,29.0,0.453,2.7,-99,-99,-99,-99,-99,0,0,489,386,149,237,23,81,65,1,40,-99,114,2,6,81,108,92,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110408,110402,1060,0.0,26.5,34.4,64.4,-99,12.0,15.6,29.2,-99,239.3,83.9,108.5,38.0,106,20.3,10.5,17.6,16.1,420.5,361.0,278.3,-99,-99,2024-08-09
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024223,2024223,2024,89,8110,4314,4314,0,5074,0.0185,23334,29.0,0.532,2.7,-99,-99,-99,-99,-99,0,0,370,365,125,239,3,30,39,1,40,-99,103,0,15,75,97,81,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110467,110461,1001,0.0,33.5,31.5,64.6,-99,17.8,16.8,34.4,-99,202.7,79.0,107.8,42.0,107,20.2,10.4,17.8,16.1,420.5,242.3,257.1,-99,-99,2024-08-10
10,11,11,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0102401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024226,2024226,2024,89,8428,4341,4341,0,5101,0.0186,23337,29.0,0.515,2.7,-99,-99,-99,-99,-99,0,0,359,379,141,238,1,30,16,1,40,-99,106,0,10,77,101,84,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12792,12792,0,0,110457,110451,1010,0.0,36.5,31.1,59.8,-99,18.8,16.0,30.8,-99,210.7,79.2,108.5,40.8,110,19.7,9.9,18.4,16.1,420.5,230.9,271.1,-99,-99,2024-08-13
11,12,12,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0112401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024220,2024220,2024,89,6958,3917,3917,0,4677,0.0168,23334,29.0,0.563,2.7,-99,-99,-99,-99,-99,0,0,341,354,112,242,0,30,23,1,40,-99,94,0,17,71,88,72,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110511,110505,956,0.0,32.7,28.3,62.2,-99,18.4,15.9,35.0,-99,174.0,73.9,97.9,41.6,104,20.6,10.6,18.4,16.1,420.5,212.8,245.9,-99,-99,2024-08-07
12,13,13,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0122401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024221,2024221,2024,89,7547,4340,4340,0,5100,0.0186,23333,29.0,0.575,2.7,-99,-99,-99,-99,-99,0,0,312,343,117,227,0,30,5,1,40,-99,88,0,19,68,83,66,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12800,0,0,110554,110548,914,0.0,40.9,32.0,64.7,-99,23.5,18.4,37.2,-99,188.7,85.6,108.5,49.2,105,20.5,10.7,18.0,16.1,420.5,184.5,235.6,-99,-99,2024-08-08
13,14,14,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0132401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024110,2024116,2024179,2024220,2024220,2024,89,6910,3889,3889,0,4650,0.0167,23332,29.0,0.563,2.7,-99,-99,-99,-99,-99,0,0,296,329,100,228,0,30,3,1,40,-99,75,0,26,61,70,53,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110621,110615,846,0.0,41.2,31.3,68.8,-99,23.2,17.6,38.7,-99,172.7,92.1,97.2,51.8,104,20.7,10.7,18.7,16.1,420.5,167.8,221.0,-99,-99,2024-08-07
