,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024222,2024222,2024,89,6588,2903,2903,0,3478,0.02,14516,21.1,0.441,2.3,-99,-99,-99,-99,-99,0,0,346,347,101,246,0,44,21,1,40,-99,81,0,12,53,77,65,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110787,110781,677,0.0,32.6,28.4,65.4,-99,14.4,12.5,28.8,-99,164.7,80.9,72.6,35.6,104,19.9,10.2,18.6,16.1,419.6,202.2,232.2,-99,-99,1,2024-08-09
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024228,2024228,2024,89,6748,2861,2861,0,3436,0.0197,14517,21.1,0.424,2.3,-99,-99,-99,-99,-99,0,0,343,357,104,253,0,44,9,1,40,-99,78,0,14,53,73,61,0.071,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12815,0,0,110791,110786,672,0.0,33.7,27.9,65.0,-99,14.3,11.8,27.6,-99,168.7,86.5,71.5,36.7,110,18.8,9.6,17.8,16.1,419.6,200.0,241.7,-99,-99,1,2024-08-15
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024224,2024224,2024,89,6548,2904,2904,0,3478,0.02,14518,21.1,0.443,2.3,-99,-99,-99,-99,-99,0,0,312,331,91,240,0,44,3,1,40,-99,70,0,17,47,65,53,0.071,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12821,0,0,110850,110845,613,0.0,38.8,30.3,72.1,-99,17.2,13.4,32.0,-99,163.7,94.0,72.6,41.7,106,19.3,10.1,18.2,16.1,419.6,168.7,216.2,-99,-99,1,2024-08-11
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024221,2024221,2024,89,6479,2903,2903,0,3478,0.02,14515,21.1,0.448,2.3,-99,-99,-99,-99,-99,0,0,324,331,91,240,0,44,15,1,40,-99,71,0,17,48,66,54,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12820,12820,0,0,110839,110834,624,0.0,35.8,29.9,70.9,-99,16.1,13.4,31.8,-99,162.0,91.8,72.6,41.1,103,19.8,10.6,17.5,16.2,419.6,180.8,216.4,-99,-99,1,2024-08-08
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024228,2024228,2024,89,7217,2773,2773,0,3348,0.0191,14518,21.1,0.384,2.3,-99,-99,-99,-99,-99,0,0,467,364,110,254,27,48,94,1,40,-99,89,1,7,55,84,72,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110765,110760,698,0.0,22.3,29.0,65.4,-99,8.6,11.1,25.1,-99,180.4,81.5,69.3,31.3,110,18.7,9.5,17.4,16.1,419.6,323.9,249.2,-99,-99,1,2024-08-15
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024221,2024221,2024,89,6999,2903,2903,0,3478,0.02,14515,21.1,0.415,2.3,-99,-99,-99,-99,-99,0,0,449,363,111,252,13,77,62,1,40,-99,93,2,7,60,88,76,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110707,110702,756,0.0,22.9,28.2,62.8,-99,9.5,11.7,26.0,-99,175.0,75.3,72.6,31.2,103,20.0,10.6,17.2,16.2,419.6,305.2,248.5,-99,-99,1,2024-08-08
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024225,2024225,2024,89,6698,2871,2871,0,3446,0.0198,14517,21.1,0.429,2.3,-99,-99,-99,-99,-99,0,0,388,355,100,255,2,44,54,1,40,-99,88,0,7,55,83,71,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110765,110759,699,0.0,27.4,27.9,67.1,-99,11.7,12.0,28.8,-99,167.4,76.1,71.8,32.6,107,19.3,9.9,17.8,16.1,419.6,244.7,239.7,-99,-99,1,2024-08-12
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024229,2024229,2024,89,7093,2803,2803,0,3378,0.0193,14518,21.1,0.395,2.3,-99,-99,-99,-99,-99,0,0,471,367,111,256,10,56,105,1,40,-99,92,1,7,58,87,75,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110729,110724,735,0.0,21.6,28.1,64.0,-99,8.6,11.1,25.3,-99,177.3,77.4,70.1,30.6,111,18.6,9.7,16.7,16.1,419.6,327.7,252.1,-99,-99,1,2024-08-16
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024222,2024222,2024,89,6559,2903,2903,0,3478,0.02,14517,21.1,0.443,2.3,-99,-99,-99,-99,-99,0,0,343,347,99,248,2,44,17,1,40,-99,81,0,13,54,76,64,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12814,0,0,110780,110775,683,0.0,32.9,28.3,66.4,-99,14.6,12.5,29.4,-99,164.0,81.4,72.6,36.0,104,19.8,10.4,18.2,16.1,419.6,199.4,231.8,-99,-99,1,2024-08-09
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024116,2024118,2024182,2024223,2024223,2024,89,7640,2903,2903,0,3478,0.02,14517,21.1,0.38,2.3,-99,-99,-99,-99,-99,0,0,362,365,117,247,3,44,18,1,40,-99,85,0,10,55,80,68,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110767,110762,696,0.0,34.9,30.6,65.1,-99,13.3,11.6,24.7,-99,191.0,90.3,72.6,34.3,105,19.9,10.1,18.2,16.1,419.6,219.0,249.7,-99,-99,1,2024-08-10
