,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024215,2024215,2024,89,6638,3904,3904,0,4193,0.0185,21146,34.3,0.588,2.1,-99,-99,-99,-99,-99,0,0,341,337,105,232,1,43,26,1,40,-99,73,0,14,47,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12821,0,0,110868,110866,593,0.0,28.9,26.8,63.1,-99,17.0,15.7,37.1,-99,165.9,90.6,97.6,53.3,112,18.5,8.9,17.6,16.0,419.6,229.3,247.9,-99,-99,1,2024-08-02
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024218,2024218,2024,89,6641,3906,3906,0,4195,0.0185,21147,34.3,0.588,2.1,-99,-99,-99,-99,-99,0,0,336,349,108,241,0,43,10,1,40,-99,77,0,12,49,71,57,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12819,12819,0,0,110849,110847,612,0.0,29.6,25.6,61.5,-99,17.4,15.1,36.1,-99,166.0,86.2,97.6,50.7,115,18.1,8.7,17.3,16.0,419.6,224.3,259.3,-99,-99,1,2024-08-05
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024216,2024216,2024,89,6635,3901,3901,0,4190,0.0184,21147,34.3,0.588,2.1,-99,-99,-99,-99,-99,0,0,312,332,105,228,0,43,3,1,40,-99,72,0,13,46,66,52,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110885,110883,576,0.0,33.1,27.3,63.4,-99,19.4,16.0,37.3,-99,165.9,91.7,97.5,53.9,113,18.4,8.9,17.4,16.0,419.6,200.6,243.1,-99,-99,1,2024-08-03
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024214,2024214,2024,89,6634,3892,3892,0,4181,0.0184,21146,34.3,0.587,2.1,-99,-99,-99,-99,-99,0,0,310,329,105,225,0,43,4,1,40,-99,72,0,13,46,66,52,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12822,12822,0,0,110888,110886,574,0.0,33.4,27.6,63.5,-99,19.6,16.2,37.2,-99,165.9,92.0,97.3,54.0,111,18.6,9.2,17.1,16.0,419.6,198.9,240.2,-99,-99,1,2024-08-01
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024220,2024220,2024,89,6636,3902,3902,0,4191,0.0185,21148,34.3,0.588,2.1,-99,-99,-99,-99,-99,0,0,400,350,109,241,16,43,58,1,40,-99,83,0,7,50,77,63,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12818,0,0,110838,110835,624,0.0,23.0,25.5,61.0,-99,13.5,15.0,35.9,-99,165.9,79.8,97.5,46.9,117,17.9,8.6,17.0,16.0,419.6,288.6,260.3,-99,-99,1,2024-08-07
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024214,2024214,2024,89,6641,3887,3887,0,4176,0.0184,21146,34.3,0.585,2.1,-99,-99,-99,-99,-99,0,0,403,348,108,240,5,52,64,1,40,-99,83,1,8,52,77,62,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12816,0,0,110823,110821,639,0.0,22.8,25.7,61.7,-99,13.3,15.0,36.1,-99,166.0,80.0,97.2,46.8,111,18.5,9.2,16.8,16.0,419.6,291.4,258.6,-99,-99,1,2024-08-01
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024216,2024216,2024,89,6638,3902,3902,0,4192,0.0185,21147,34.3,0.588,2.1,-99,-99,-99,-99,-99,0,0,369,338,105,232,2,43,53,1,40,-99,73,0,14,47,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12821,0,0,110869,110867,593,0.0,25.7,26.7,63.1,-99,15.1,15.7,37.1,-99,166.0,90.6,97.6,53.3,113,18.3,8.9,17.4,16.0,419.6,257.9,248.3,-99,-99,1,2024-08-03
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024219,2024219,2024,89,6636,3896,3896,0,4186,0.0184,21147,34.3,0.587,2.1,-99,-99,-99,-99,-99,0,0,360,352,109,243,0,43,31,1,40,-99,81,0,10,51,75,61,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12817,0,0,110827,110825,635,0.0,26.8,25.3,61.2,-99,15.7,14.8,35.9,-99,165.9,81.6,97.4,47.9,116,18.0,8.7,16.7,16.0,419.6,248.0,262.4,-99,-99,1,2024-08-06
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024214,2024214,2024,89,6635,3889,3889,0,4179,0.0184,21147,34.3,0.586,2.1,-99,-99,-99,-99,-99,0,0,342,340,106,234,2,43,24,1,40,-99,73,0,14,47,67,53,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12821,0,0,110876,110874,586,0.0,28.8,26.5,62.8,-99,16.9,15.5,36.8,-99,165.9,90.8,97.2,53.2,111,18.6,9.1,17.6,16.0,419.6,230.6,250.3,-99,-99,1,2024-08-01
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024098,2024103,2024173,2024215,2024215,2024,89,6645,3898,3898,0,4187,0.0184,21147,34.3,0.587,2.1,-99,-99,-99,-99,-99,0,0,358,351,111,240,3,43,27,1,40,-99,82,0,9,51,76,62,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12817,0,0,110828,110825,634,0.0,27.0,25.4,59.8,-99,15.8,14.9,35.1,-99,166.1,80.8,97.4,47.4,112,18.6,8.9,17.5,16.0,419.6,246.0,261.7,-99,-99,1,2024-08-02
