,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024214,2024214,2024,89,7766,4296,4296,0,4791,0.0184,23333,46.3,0.553,1.5,-99,-99,-99,-99,-99,0,0,459,367,120,247,18,82,58,1,40,-99,93,2,6,61,88,75,0.064,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110714,110710,749,0.0,21.7,28.1,64.9,-99,12.0,15.6,35.9,-99,194.2,83.1,107.4,46.0,111,19.2,9.4,16.7,16.0,419.6,358.0,275.9,-99,-99,1,2024-08-01
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024215,2024215,2024,89,7802,4340,4340,0,4835,0.0186,23333,46.3,0.556,1.5,-99,-99,-99,-99,-99,0,0,343,362,120,242,3,27,17,1,40,-99,86,0,10,55,81,67,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12812,0,0,110773,110769,690,0.0,32.2,28.8,65.0,-99,17.9,16.0,36.2,-99,195.0,90.8,108.5,50.5,112,19.1,9.3,17.1,16.0,419.6,242.3,270.8,-99,-99,1,2024-08-02
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024213,2024213,2024,89,7748,4340,4340,0,4835,0.0186,23334,46.3,0.56,1.5,-99,-99,-99,-99,-99,0,0,445,362,121,240,24,76,50,1,40,-99,90,2,7,59,85,71,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110737,110733,726,0.0,22.5,28.7,63.9,-99,12.6,16.0,35.8,-99,193.7,86.4,108.5,48.4,110,19.4,9.6,17.0,16.0,419.6,344.7,270.4,-99,-99,1,2024-07-31
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024214,2024214,2024,89,7797,4340,4340,0,4835,0.0186,23333,46.3,0.557,1.5,-99,-99,-99,-99,-99,0,0,385,360,119,241,6,27,58,1,40,-99,87,0,10,56,82,69,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110770,110767,692,0.0,27.4,29.0,65.4,-99,15.3,16.2,36.4,-99,194.9,89.4,108.5,49.8,111,19.2,9.5,16.9,16.0,419.6,284.3,268.7,-99,-99,1,2024-08-01
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024213,2024213,2024,89,7794,4340,4340,0,4835,0.0186,23333,46.3,0.557,1.5,-99,-99,-99,-99,-99,0,0,346,365,123,242,3,27,18,1,40,-99,89,0,10,58,84,71,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110742,110739,720,0.0,31.8,28.5,63.5,-99,17.7,15.9,35.4,-99,194.8,87.2,108.5,48.6,110,19.4,9.6,17.1,16.0,419.6,245.2,273.4,-99,-99,1,2024-07-31
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024215,2024215,2024,89,7797,4340,4340,0,4835,0.0186,23333,46.3,0.557,1.5,-99,-99,-99,-99,-99,0,0,366,369,121,248,3,27,34,1,40,-99,94,0,7,61,89,76,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110708,110705,754,0.0,29.4,28.1,64.5,-99,16.3,15.6,35.9,-99,194.9,82.6,108.5,46.0,112,19.2,9.5,16.6,16.0,419.6,265.6,277.5,-99,-99,1,2024-08-02
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024214,2024214,2024,89,7772,4340,4340,0,4835,0.0186,23333,46.3,0.558,1.5,-99,-99,-99,-99,-99,0,0,347,355,116,238,3,27,28,1,40,-99,85,0,11,54,80,67,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12813,0,0,110784,110780,679,0.0,31.6,29.5,66.9,-99,17.6,16.5,37.3,-99,194.3,91.1,108.5,50.9,111,19.2,9.4,16.9,16.0,419.6,246.2,263.4,-99,-99,1,2024-08-01
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024214,2024214,2024,89,7793,4340,4340,0,4835,0.0186,23333,46.3,0.557,1.5,-99,-99,-99,-99,-99,0,0,324,350,117,234,3,27,10,1,40,-99,81,0,11,52,76,63,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110812,110809,650,0.0,34.8,30.1,66.8,-99,19.4,16.8,37.2,-99,194.8,96.2,108.5,53.6,111,19.3,9.4,17.4,16.0,419.6,223.7,259.1,-99,-99,1,2024-08-01
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024213,2024213,2024,89,7783,4340,4340,0,4835,0.0186,23333,46.3,0.558,1.5,-99,-99,-99,-99,-99,0,0,376,364,118,246,5,27,46,1,40,-99,92,0,8,59,87,74,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110730,110726,733,0.0,28.3,28.5,65.7,-99,15.8,15.9,36.7,-99,194.6,84.3,108.5,47.0,110,19.3,9.6,16.7,16.0,419.6,274.9,272.9,-99,-99,1,2024-07-31
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024097,2024103,2024170,2024213,2024213,2024,89,7780,4340,4340,0,4835,0.0186,23333,46.3,0.558,1.5,-99,-99,-99,-99,-99,0,0,371,366,123,244,7,27,37,1,40,-99,93,0,8,60,88,75,0.065,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12808,0,0,110721,110717,742,0.0,28.8,28.3,63.3,-99,16.1,15.8,35.3,-99,194.5,83.5,108.5,46.6,110,19.5,9.6,17.2,16.0,419.6,270.1,275.2,-99,-99,1,2024-07-31
