,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0002401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024225,2024225,2024,89,6151,2885,2885,0,3426,0.0101,28566,53.1,0.469,1.2,-99,-99,-99,-99,-99,0,0,356,355,84,271,1,46,19,1,40,-99,75,0,21,56,72,61,0.091,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110703,110696,762,0.0,31.9,27.5,73.1,-99,15.0,12.9,34.3,-99,153.8,81.5,72.1,38.2,94,22.0,12.4,18.3,16.2,419.6,192.9,223.3,-99,-99,1,2024-08-12
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0012401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024230,2024230,2024,89,6170,2887,2887,0,3428,0.0101,28571,53.1,0.468,1.2,-99,-99,-99,-99,-99,0,0,343,350,84,266,1,46,13,1,40,-99,61,0,29,51,58,47,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12817,0,0,110772,110765,693,0.0,34.2,28.4,73.7,-99,16.0,13.3,34.5,-99,154.3,100.7,72.2,47.1,99,21.0,11.5,17.9,16.2,419.6,180.5,217.6,-99,-99,1,2024-08-17
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0022401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024225,2024225,2024,89,7949,2885,2885,0,3426,0.0101,28566,53.1,0.363,1.2,-99,-99,-99,-99,-99,0,0,447,384,103,281,7,46,76,1,40,-99,95,0,11,66,91,81,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110604,110598,860,0.0,28.0,31.5,77.1,-99,10.2,11.4,28.0,-99,198.7,83.4,72.1,30.3,94,21.9,12.3,18.1,16.2,419.6,284.1,252.5,-99,-99,1,2024-08-12
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0032401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024230,2024230,2024,89,8300,2886,2886,0,3427,0.0101,28571,53.1,0.348,1.2,-99,-99,-99,-99,-99,0,0,467,391,106,285,17,69,57,1,40,-99,95,2,10,66,91,80,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110605,110599,860,0.0,27.3,32.1,78.5,-99,9.5,11.2,27.3,-99,207.5,87.7,72.1,30.5,99,21.1,11.5,18.3,16.2,419.6,304.5,258.8,-99,-99,1,2024-08-17
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0042401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024230,2024230,2024,89,8599,2886,2886,0,3427,0.0101,28571,53.1,0.336,1.2,-99,-99,-99,-99,-99,0,0,402,394,108,286,2,46,27,1,40,-99,92,0,13,65,88,78,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12802,0,0,110605,110599,860,0.0,35.9,32.9,79.8,-99,12.1,11.0,26.8,-99,215.0,93.0,72.1,31.2,99,21.0,11.5,18.6,16.2,419.6,239.2,261.7,-99,-99,1,2024-08-17
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0052401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024233,2024233,2024,89,8366,2866,2866,0,3407,0.01,28572,53.1,0.343,1.2,-99,-99,-99,-99,-99,0,0,390,383,104,279,2,46,26,1,40,-99,90,0,12,62,86,76,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12805,0,0,110639,110633,826,0.0,36.8,33.4,80.6,-99,12.6,11.4,27.6,-99,209.1,93.1,71.6,31.9,102,20.4,11.0,18.0,16.1,419.6,227.1,250.7,-99,-99,1,2024-08-20
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0062401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024227,2024227,2024,89,6985,2885,2885,0,3426,0.0101,28566,53.1,0.413,1.2,-99,-99,-99,-99,-99,0,0,482,373,93,280,9,94,73,1,40,-99,98,4,9,71,94,84,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12797,0,0,110553,110547,912,0.0,21.9,29.0,75.2,-99,9.0,12.0,31.1,-99,174.6,71.4,72.1,29.5,96,21.6,12.4,16.3,16.2,419.6,319.3,241.1,-99,-99,1,2024-08-14
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0072401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024227,2024227,2024,89,7385,2885,2885,0,3426,0.0101,28568,53.1,0.391,1.2,-99,-99,-99,-99,-99,0,0,406,374,98,276,3,46,50,1,40,-99,96,0,10,66,93,82,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12802,0,0,110601,110595,864,0.0,30.4,30.5,75.2,-99,11.9,11.9,29.4,-99,184.6,76.5,72.1,29.9,96,21.5,12.1,17.1,16.2,419.6,243.2,242.1,-99,-99,1,2024-08-14
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0082401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024229,2024229,2024,89,6346,2885,2885,0,3427,0.0101,28569,53.1,0.455,1.2,-99,-99,-99,-99,-99,0,0,342,352,86,266,1,46,9,1,40,-99,66,0,26,52,62,52,0.092,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110759,110752,706,0.0,35.3,28.8,73.9,-99,16.1,13.1,33.6,-99,158.6,96.2,72.1,43.7,98,21.1,11.6,18.1,16.2,419.6,179.6,220.2,-99,-99,1,2024-08-16
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,E0092401,2024,JP_NRNP06A,43.928,144.284,66,2024001,2024123,2024131,2024186,2024230,2024230,2024,89,7402,2787,2787,0,3328,0.0098,28570,53.1,0.377,1.2,-99,-99,-99,-99,-99,0,0,411,380,97,283,2,46,50,1,40,-99,93,0,12,65,89,79,0.1,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110607,110601,858,0.0,29.8,29.9,76.3,-99,11.2,11.3,28.7,-99,185.0,79.3,69.7,29.9,99,21.2,11.7,17.6,16.2,419.6,248.2,247.6,-99,-99,1,2024-08-17
