,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024218,2024218,2024,89,6881,3821,3821,0,4547,0.02,19105,32.5,0.555,1.6,-99,-99,-99,-99,-99,0,0,308,323,85,237,1,45,6,1,40,-99,63,0,30,54,58,46,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110717,110715,743,0.0,39.4,31.5,80.6,-99,21.9,17.5,44.7,-99,172.0,108.7,95.5,60.4,103,19.2,10.2,18.0,16.1,420.5,174.5,218.5,-99,-99,2024-08-05
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024217,2024217,2024,89,7412,3809,3809,0,4536,0.0199,19105,32.5,0.514,1.6,-99,-99,-99,-99,-99,0,0,344,352,105,247,1,45,14,1,40,-99,91,0,17,69,86,74,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110543,110540,917,0.0,35.2,29.9,70.7,-99,18.1,15.4,36.3,-99,185.3,81.2,95.2,41.7,102,19.4,10.3,17.4,16.1,420.5,210.8,247.6,-99,-99,2024-08-04
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024222,2024222,2024,89,6980,3822,3822,0,4549,0.02,19104,32.5,0.548,1.6,-99,-99,-99,-99,-99,0,0,309,326,88,238,1,45,5,1,40,-99,67,0,27,55,62,50,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12813,0,0,110706,110704,754,0.0,39.7,31.5,79.3,-99,21.7,17.3,43.4,-99,174.5,103.8,95.6,56.8,107,18.6,9.6,18.2,16.1,420.5,175.8,221.4,-99,-99,2024-08-09
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024218,2024218,2024,89,8342,3821,3821,0,4547,0.02,19105,32.5,0.458,1.6,-99,-99,-99,-99,-99,0,0,430,376,120,256,7,49,65,1,40,-99,106,1,9,74,101,88,0.082,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110490,110488,970,0.0,28.1,30.7,69.5,-99,12.9,14.1,31.8,-99,208.6,78.8,95.5,36.1,103,19.4,9.9,18.2,16.1,420.5,296.5,271.6,-99,-99,2024-08-05
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024221,2024221,2024,89,7517,3786,3786,0,4513,0.0198,19104,32.5,0.504,1.6,-99,-99,-99,-99,-99,0,0,380,351,98,253,2,45,48,1,40,-99,90,0,17,65,85,73,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110592,110589,869,0.0,30.5,30.5,76.7,-99,15.4,15.4,38.6,-99,187.9,83.2,94.7,41.9,106,19.0,9.6,18.3,16.1,420.5,246.2,246.6,-99,-99,2024-08-08
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024219,2024219,2024,89,8949,3821,3821,0,4547,0.02,19104,32.5,0.427,1.6,-99,-99,-99,-99,-99,0,0,387,365,122,243,7,57,24,1,40,-99,95,2,11,68,90,77,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12800,0,0,110564,110561,897,0.0,35.4,34.3,73.3,-99,15.1,14.7,31.3,-99,223.7,93.7,95.5,40.0,104,19.2,9.9,18.3,16.1,420.5,253.1,260.6,-99,-99,2024-08-06
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024221,2024221,2024,89,9245,3770,3770,0,4496,0.0197,19105,32.5,0.408,1.6,-99,-99,-99,-99,-99,0,0,418,375,119,256,5,45,60,1,40,-99,106,0,9,73,101,88,0.082,-99,-99,-99,-99,-99,-99,-99,-99,0,12795,12795,0,0,110494,110492,966,0.0,32.5,34.2,78.0,-99,13.3,13.9,31.8,-99,231.1,87.3,94.2,35.6,106,18.8,9.8,17.2,16.1,420.5,284.3,270.4,-99,-99,2024-08-08
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024218,2024218,2024,89,8352,3821,3821,0,4547,0.02,19105,32.5,0.457,1.6,-99,-99,-99,-99,-99,0,0,352,361,114,248,2,45,11,1,40,-99,89,0,17,67,84,71,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12802,12801,0,0,110572,110570,888,0.0,38.2,32.5,73.5,-99,17.5,14.9,33.6,-99,208.8,93.5,95.5,42.8,103,19.4,10.2,18.4,16.1,420.5,218.4,257.1,-99,-99,2024-08-05
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024216,2024216,2024,89,9276,3821,3821,0,4548,0.02,19105,32.5,0.412,1.6,-99,-99,-99,-99,-99,0,0,401,380,126,254,7,45,35,1,40,-99,101,0,11,72,96,83,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12796,0,0,110517,110514,943,0.0,34.7,33.6,73.4,-99,14.3,13.9,30.2,-99,231.9,91.5,95.5,37.7,101,19.7,10.1,19.4,16.2,420.5,267.0,275.8,-99,-99,2024-08-03
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024106,2024115,2024177,2024220,2024220,2024,89,7369,3821,3821,0,4547,0.02,19105,32.5,0.519,1.6,-99,-99,-99,-99,-99,0,0,370,358,106,252,2,45,31,1,40,-99,100,0,11,70,95,82,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12798,12798,0,0,110535,110532,926,0.0,31.2,29.1,69.6,-99,16.2,15.1,36.1,-99,184.2,73.9,95.5,38.3,105,18.9,10.0,17.3,16.1,420.5,236.0,253.5,-99,-99,2024-08-07
