,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024225,2024225,2024,89,6463,3183,3183,0,3912,0.0145,21877,31.7,0.492,2.1,-99,-99,-99,-99,-99,0,0,310,327,88,239,1,44,4,1,40,-99,64,0,33,57,58,42,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110675,110667,794,0.0,39.8,32.0,73.8,-99,19.6,15.8,36.3,-99,161.6,101.0,79.6,49.7,99,20.1,11.4,18.1,16.2,420.5,162.4,201.9,-99,-99,2024-08-12
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024225,2024225,2024,89,7615,4295,4295,0,5031,0.0196,21877,31.7,0.564,2.1,-99,-99,-99,-99,-99,0,0,388,364,118,246,1,44,46,1,40,-99,99,0,15,74,93,76,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110476,110469,994,0.0,31.6,31.9,64.7,-99,17.8,18.0,36.5,-99,190.4,76.8,107.4,43.3,99,20.4,11.6,17.2,16.2,420.5,241.1,239.0,-99,-99,2024-08-12
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024231,2024231,2024,89,6857,3522,3522,0,4291,0.0161,21880,31.7,0.514,2.1,-99,-99,-99,-99,-99,0,0,309,330,91,240,1,44,0,1,40,-99,67,0,29,57,61,45,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110680,110671,790,0.0,42.3,33.3,75.5,-99,21.7,17.1,38.8,-99,171.4,101.8,88.0,52.3,105,19.4,10.5,18.2,16.1,420.5,162.2,205.8,-99,-99,2024-08-18
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024225,2024225,2024,89,9546,4375,4375,0,5082,0.02,21877,31.7,0.458,2.1,-99,-99,-99,-99,-99,0,0,432,394,143,251,7,54,44,1,40,-99,113,1,8,81,107,90,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12787,12787,0,0,110399,110392,1071,0.0,33.5,35.4,66.7,-99,15.3,16.2,30.6,-99,238.6,84.6,109.4,38.8,99,20.5,11.1,18.2,16.2,420.5,285.1,269.7,-99,-99,2024-08-12
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024229,2024229,2024,89,7509,4151,4151,0,4920,0.019,21880,31.7,0.553,2.1,-99,-99,-99,-99,-99,0,0,437,373,109,264,10,55,65,1,40,-99,104,1,9,74,98,81,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110478,110470,992,0.0,25.9,30.2,68.7,-99,14.3,16.7,38.0,-99,187.7,72.1,103.8,39.8,103,19.9,10.7,18.3,16.1,420.5,289.9,248.8,-99,-99,2024-08-16
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024227,2024227,2024,89,8927,4376,4376,0,5068,0.02,21879,31.7,0.49,2.1,-99,-99,-99,-99,-99,0,0,409,380,133,247,7,66,22,1,40,-99,95,3,13,69,89,73,0.097,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110540,110533,930,0.0,34.1,34.9,67.0,-99,16.7,17.1,32.9,-99,223.2,93.7,109.4,45.9,101,20.1,11.0,18.3,16.2,420.5,261.6,255.8,-99,-99,2024-08-14
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024228,2024228,2024,89,9248,4336,4336,0,5025,0.0198,21877,31.7,0.469,2.1,-99,-99,-99,-99,-99,0,0,433,389,135,254,5,44,61,1,40,-99,118,0,7,84,112,96,0.09,-99,-99,-99,-99,-99,-99,-99,-99,0,12784,12784,0,0,110368,110361,1102,0.0,32.3,35.0,68.3,-99,15.1,16.4,32.0,-99,231.2,78.3,108.4,36.7,102,19.7,11.0,17.0,16.2,420.5,286.3,264.6,-99,-99,2024-08-15
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024225,2024225,2024,89,8342,4376,4376,0,5038,0.02,21878,31.7,0.525,2.1,-99,-99,-99,-99,-99,0,0,389,375,123,252,2,44,34,1,40,-99,97,0,15,71,91,75,0.089,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110511,110503,959,0.0,34.5,33.3,67.6,-99,18.1,17.5,35.5,-99,208.6,86.1,109.4,45.1,99,20.2,11.3,18.4,16.2,420.5,241.9,250.6,-99,-99,2024-08-12
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024224,2024224,2024,89,9375,4375,4375,0,5088,0.02,21877,31.7,0.467,2.1,-99,-99,-99,-99,-99,0,0,464,401,149,252,16,44,68,1,40,-99,110,0,9,79,104,88,0.093,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110421,110414,1049,0.0,29.6,33.9,62.9,-99,13.8,15.8,29.4,-99,234.4,84.9,109.4,39.6,98,20.6,11.5,19.3,16.2,420.5,316.4,276.8,-99,-99,2024-08-11
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024120,2024126,2024186,2024227,2024227,2024,89,8109,4366,4366,0,5035,0.02,21877,31.7,0.538,2.1,-99,-99,-99,-99,-99,0,0,370,375,130,246,2,44,14,1,40,-99,104,0,10,74,98,82,0.088,-99,-99,-99,-99,-99,-99,-99,-99,0,12794,12794,0,0,110483,110476,987,0.0,36.5,32.3,62.5,-99,19.6,17.4,33.7,-99,202.7,77.7,109.2,41.8,101,19.8,11.1,17.7,16.2,420.5,222.4,250.7,-99,-99,2024-08-14
