,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024229,2024229,2024,89,6722,3261,3261,0,3872,0.014,23365,32.9,0.485,2.7,-99,-99,-99,-99,-99,0,0,310,332,93,240,1,43,0,1,40,-99,66,0,22,49,60,42,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12819,12819,0,0,110838,110832,629,0.0,47.4,34.1,72.6,-99,23.0,16.5,35.2,-99,168.1,101.1,81.5,49.1,98,20.9,12.2,18.5,16.2,419.6,141.9,197.4,-99,-99,1,2024-08-16
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024229,2024229,2024,89,7934,4053,4053,0,4920,0.0162,24972,35.2,0.511,2.7,-99,-99,-99,-99,-99,0,0,411,376,128,248,1,43,58,1,40,-99,96,0,11,67,89,69,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12801,12801,0,0,110636,110631,832,0.0,32.6,32.9,62.0,-99,16.7,16.8,31.7,-99,198.4,82.4,101.3,42.1,98,21.1,12.3,17.2,16.2,419.6,243.4,241.1,-99,-99,1,2024-08-16
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024236,2024236,2024,89,7165,3538,3538,0,4261,0.0145,24337,34.3,0.494,2.7,-99,-99,-99,-99,-99,0,0,309,336,97,240,1,43,0,1,40,-99,66,0,21,48,59,40,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12821,12820,0,0,110855,110849,613,0.0,50.6,35.6,74.2,-99,25.0,17.6,36.6,-99,179.1,108.8,88.5,53.7,105,19.9,11.0,18.4,16.1,419.6,141.7,201.3,-99,-99,1,2024-08-23
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024191,2024229,2024229,2024,89,9641,4834,4834,0,5633,0.02,24180,34.1,0.501,2.7,-99,-99,-99,-99,-99,0,0,463,410,160,250,7,54,57,1,40,-99,106,1,5,72,99,80,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12796,0,0,110583,110578,884,0.0,32.7,35.0,60.3,-99,16.4,17.6,30.3,-99,241.0,90.9,120.9,45.6,98,21.2,11.9,18.4,16.2,419.6,295.1,275.3,-99,-99,1,2024-08-16
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024191,2024233,2024233,2024,89,7953,4295,4295,0,5009,0.0178,24113,34.0,0.54,2.7,-99,-99,-99,-99,-99,0,0,471,383,125,258,13,52,89,1,40,-99,99,1,6,66,92,73,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12802,0,0,110650,110645,817,0.0,26.2,32.0,63.7,-99,14.2,17.3,34.4,-99,198.8,80.0,107.4,43.2,102,20.5,11.3,18.4,16.1,419.6,303.4,248.3,-99,-99,1,2024-08-20
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024191,2024231,2024231,2024,89,9271,4610,4610,0,5158,0.02,23050,32.5,0.497,2.7,-99,-99,-99,-99,-99,0,0,409,388,141,248,7,67,12,1,40,-99,91,2,8,61,84,66,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12808,12807,0,0,110710,110704,757,0.0,38.5,36.6,66.0,-99,19.1,18.2,32.8,-99,231.8,102.1,115.3,50.8,100,20.7,11.6,18.6,16.2,419.6,241.1,253.2,-99,-99,1,2024-08-18
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024193,2024233,2024233,2024,89,9216,4823,4823,0,5542,0.02,24116,34.0,0.523,2.7,-99,-99,-99,-99,-99,0,0,443,402,151,251,5,45,57,1,40,-99,110,0,5,75,104,85,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110541,110537,926,0.0,33.4,34.5,61.0,-99,17.5,18.1,31.9,-99,230.4,83.5,120.6,43.7,102,20.3,11.6,17.3,16.1,419.6,275.6,266.8,-99,-99,1,2024-08-20
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024191,2024230,2024230,2024,89,8676,4881,4881,0,5675,0.02,24403,34.4,0.563,2.7,-99,-99,-99,-99,-99,0,0,427,388,135,253,3,43,59,1,40,-99,98,0,8,65,92,72,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110655,110650,813,0.0,33.5,34.3,64.4,-99,18.9,19.3,36.2,-99,216.9,88.3,122.0,49.7,99,20.8,12.1,18.3,16.2,419.6,258.9,252.9,-99,-99,1,2024-08-17
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024228,2024228,2024,89,9701,4785,4785,0,5522,0.02,23927,33.7,0.493,2.7,-99,-99,-99,-99,-99,0,0,482,420,167,253,16,44,68,1,40,-99,104,0,6,70,97,78,0.078,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110608,110603,859,0.0,30.8,34.0,58.1,-99,15.2,16.8,28.7,-99,242.5,93.0,119.6,45.9,97,21.4,12.3,19.5,16.2,419.6,314.7,285.1,-99,-99,1,2024-08-15
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024125,2024131,2024192,2024232,2024232,2024,89,8695,4621,4621,0,5264,0.02,23105,32.6,0.531,2.7,-99,-99,-99,-99,-99,0,0,385,389,143,245,3,43,18,1,40,-99,98,0,7,65,92,73,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110654,110648,814,0.0,39.9,34.3,60.7,-99,21.2,18.2,32.3,-99,217.4,88.4,115.5,47.0,101,20.6,11.9,17.8,16.1,419.6,217.8,253.7,-99,-99,1,2024-08-19
