,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
386,387,90,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3862401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024226,2024226,2024,89,7128,3895,3895,0,4740,0.0179,21727,29.1,0.546,2.5,-99,-99,-99,-99,-99,0,0,367,335,97,238,1,44,53,1,40,-99,74,0,24,58,68,51,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110667,110661,800,0.0,31.5,31.2,73.4,-99,17.2,17.0,40.1,-99,178.2,95.8,97.4,52.3,110,18.9,9.7,18.3,16.1,420.5,226.3,228.8,-99,-99,2024-08-13
387,388,91,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3872401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024221,2024221,2024,89,9873,4339,4339,0,5183,0.02,21724,29.1,0.439,2.5,-99,-99,-99,-99,-99,0,0,440,389,149,240,13,47,57,1,40,-99,108,1,8,75,101,84,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110487,110481,981,0.0,33.0,34.9,66.4,-99,14.5,15.3,29.2,-99,246.8,91.6,108.5,40.2,105,19.5,10.4,18.6,16.1,420.5,299.2,283.2,-99,-99,2024-08-08
388,389,92,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3882401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024224,2024224,2024,89,9946,4259,4259,0,5104,0.0196,21726,29.1,0.428,2.5,-99,-99,-99,-99,-99,0,0,401,388,150,239,2,44,32,1,40,-99,112,0,7,80,106,89,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12788,0,0,110433,110428,1034,0.0,38.2,35.2,66.4,-99,16.4,15.1,28.4,-99,248.6,88.5,106.5,37.9,108,19.2,10.0,18.1,16.1,420.5,260.1,282.3,-99,-99,2024-08-11
389,390,93,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3892401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024226,2024226,2024,89,9138,4276,4276,0,5120,0.0197,21727,29.1,0.468,2.5,-99,-99,-99,-99,-99,0,0,455,386,140,246,21,54,61,1,40,-99,112,1,6,78,105,88,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12791,12790,0,0,110454,110448,1014,0.0,29.1,32.7,65.3,-99,13.6,15.3,30.5,-99,228.5,82.0,106.9,38.3,110,18.8,9.8,17.9,16.1,420.5,314.4,279.6,-99,-99,2024-08-13
390,391,94,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3902401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024222,2024222,2024,89,7461,4203,4203,0,5048,0.0193,21727,29.1,0.563,2.5,-99,-99,-99,-99,-99,0,0,358,365,120,245,1,44,14,1,40,-99,100,0,12,72,94,77,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12796,0,0,110513,110507,954,0.0,34.3,28.8,62.0,-99,19.3,16.2,34.9,-99,186.5,74.8,105.1,42.2,106,19.5,10.1,19.0,16.1,420.5,217.6,259.3,-99,-99,2024-08-09
391,392,95,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3912401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024220,2024220,2024,89,8808,4345,4345,0,5189,0.02,21723,29.1,0.493,2.5,-99,-99,-99,-99,-99,0,0,358,363,128,236,1,44,15,1,40,-99,96,0,15,71,90,73,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110527,110522,941,0.0,40.5,34.2,69.0,-99,20.0,16.9,34.0,-99,220.2,91.5,108.6,45.1,104,19.7,10.8,17.5,16.1,420.5,217.4,257.4,-99,-99,2024-08-07
392,393,96,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3922401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024220,2024220,2024,89,7553,4290,4290,0,5135,0.0198,21722,29.1,0.568,2.5,-99,-99,-99,-99,-99,0,0,343,349,110,239,1,44,16,1,40,-99,86,0,18,64,80,63,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12804,0,0,110604,110598,864,0.0,37.3,31.1,68.9,-99,21.2,17.7,39.1,-99,188.8,88.1,107.3,50.0,104,19.6,10.5,18.5,16.1,420.5,202.3,242.6,-99,-99,2024-08-07
393,394,97,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3932401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024223,2024223,2024,89,9530,4345,4345,0,5189,0.02,21723,29.1,0.456,2.5,-99,-99,-99,-99,-99,0,0,476,387,144,243,12,81,63,1,40,-99,113,2,6,80,107,90,0.082,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110432,110426,1036,0.0,28.4,34.0,66.2,-99,12.9,15.5,30.2,-99,238.3,84.1,108.6,38.4,107,19.3,10.3,17.6,16.1,420.5,335.8,280.5,-99,-99,2024-08-10
394,395,98,1,0,1,BA,CSCER048,ABSR2404,Sim1,-99,C3942401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024220,2024220,2024,89,9568,4345,4345,0,5189,0.02,21725,29.1,0.454,2.5,-99,-99,-99,-99,-99,0,0,419,384,146,238,10,44,48,1,40,-99,113,0,7,80,106,90,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12788,12788,0,0,110430,110425,1037,0.0,34.3,34.4,65.6,-99,15.6,15.6,29.8,-99,239.2,84.8,108.6,38.5,104,19.7,10.7,18.3,16.1,420.5,278.8,277.8,-99,-99,2024-08-07
395,396,1,1,0,1,BA,CSCER048,ABSR2405,Sim1,-99,C3952401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024226,2024226,2024,89,9876,4346,4346,0,5190,0.02,21728,29.1,0.44,2.5,-99,-99,-99,-99,-99,0,0,425,389,150,239,5,59,39,1,40,-99,112,1,6,79,106,89,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110439,110433,1029,0.0,34.7,34.9,66.0,-99,15.2,15.4,29.0,-99,246.9,87.8,108.6,38.6,110,19.0,9.7,18.0,16.1,420.5,285.0,282.8,-99,-99,2024-08-13
396,397,2,1,0,1,BA,CSCER048,ABSR2405,Sim1,-99,C3962401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024223,2024223,2024,89,8174,4345,4345,0,5190,0.02,21727,29.1,0.532,2.5,-99,-99,-99,-99,-99,0,0,348,359,121,237,1,44,11,1,40,-99,90,0,19,68,84,67,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12800,0,0,110558,110552,910,0.0,39.3,32.4,67.4,-99,20.9,17.2,35.8,-99,204.4,90.7,108.6,48.2,107,19.4,10.1,18.2,16.1,420.5,207.8,252.6,-99,-99,2024-08-10
397,398,3,1,0,1,BA,CSCER048,ABSR2405,Sim1,-99,C3972401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024221,2024221,2024,89,9024,4252,4252,0,5096,0.0196,21724,29.1,0.471,2.5,-99,-99,-99,-99,-99,0,0,479,384,137,247,16,77,68,1,40,-99,112,2,7,79,105,88,0.082,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110439,110434,1028,0.0,26.7,32.5,65.9,-99,12.6,15.3,31.1,-99,225.6,80.9,106.3,38.1,105,19.7,10.1,18.5,16.1,420.5,338.5,277.7,-99,-99,2024-08-08
398,399,4,1,0,1,BA,CSCER048,ABSR2405,Sim1,-99,C3982401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024222,2024222,2024,89,7964,4344,4344,0,5189,0.02,21722,29.1,0.546,2.5,-99,-99,-99,-99,-99,0,0,322,338,108,231,1,44,5,1,40,-99,78,0,21,60,71,54,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12808,0,0,110661,110654,807,0.0,43.9,34.3,73.9,-99,24.0,18.7,40.3,-99,199.1,102.7,108.6,56.0,106,19.5,10.3,19.0,16.1,420.5,181.3,232.3,-99,-99,2024-08-09
399,400,5,1,0,1,BA,CSCER048,ABSR2405,Sim1,-99,C3992401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024109,2024116,2024181,2024225,2024225,2024,89,7732,4268,4268,0,5113,0.0196,21725,29.1,0.552,2.5,-99,-99,-99,-99,-99,0,0,365,360,120,241,2,44,25,1,40,-99,99,0,10,69,93,76,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110549,110543,919,0.0,34.4,30.4,64.6,-99,19.0,16.8,35.7,-99,193.3,77.8,106.7,42.9,109,19.0,10.0,18.1,16.1,420.5,224.5,254.1,-99,-99,2024-08-12
