,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEC,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EC,CH4EC,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0002401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024221,2024221,2024,89,7041,3969,3969,0,4782,0.0192,20701,28.5,0.564,2.3,-99,-99,-99,-99,-99,0,0,308,325,94,231,1,44,4,1,40,-99,67,0,28,56,62,46,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110693,110690,769,0.0,42.0,32.1,74.5,-99,23.7,18.1,42.0,-99,176.0,104.9,99.2,59.1,105,19.5,10.4,18.2,16.1,420.5,167.6,219.4,-99,-99,2024-08-08
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0012401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024220,2024220,2024,89,7740,4140,4140,0,4953,0.02,20701,28.5,0.535,2.3,-99,-99,-99,-99,-99,0,0,344,357,120,236,1,44,9,1,40,-99,94,0,16,71,89,73,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12797,12797,0,0,110524,110521,939,0.0,38.0,30.9,64.2,-99,20.3,16.5,34.4,-99,193.5,82.2,103.5,43.9,104,19.6,10.5,17.6,16.1,420.5,203.9,250.8,-99,-99,2024-08-07
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0022401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024226,2024226,2024,89,7228,4141,4141,0,4954,0.02,20704,28.5,0.573,2.3,-99,-99,-99,-99,-99,0,0,309,329,97,232,1,44,2,1,40,-99,70,0,25,56,65,48,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110692,110688,771,0.0,42.8,32.4,74.2,-99,24.5,18.6,42.5,-99,180.7,103.2,103.5,59.1,110,18.7,9.7,18.3,16.1,420.5,168.9,222.9,-99,-99,2024-08-13
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0032401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024221,2024221,2024,89,8950,4140,4140,0,4954,0.02,20701,28.5,0.463,2.3,-99,-99,-99,-99,-99,0,0,430,386,142,245,7,50,53,1,40,-99,111,1,7,78,105,89,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12790,12790,0,0,110441,110438,1021,0.0,30.9,31.9,63.2,-99,14.3,14.8,29.2,-99,223.7,80.5,103.5,37.2,105,19.6,10.2,18.3,16.1,420.5,289.6,280.4,-99,-99,2024-08-08
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0042401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024224,2024224,2024,89,7819,4087,4087,0,4901,0.0197,20703,28.5,0.523,2.3,-99,-99,-99,-99,-99,0,0,380,361,111,250,2,44,39,1,40,-99,99,0,11,69,93,77,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12799,12799,0,0,110544,110541,919,0.0,32.7,30.7,70.7,-99,17.1,16.0,37.0,-99,195.5,79.3,102.2,41.5,108,19.2,9.8,18.5,16.1,420.5,239.3,255.0,-99,-99,2024-08-11
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0052401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024222,2024222,2024,89,9405,4141,4141,0,4954,0.02,20703,28.5,0.44,2.3,-99,-99,-99,-99,-99,0,0,387,374,142,233,7,59,12,1,40,-99,97,2,10,68,91,75,0.087,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12799,0,0,110555,110552,907,0.0,38.2,35.0,66.4,-99,16.8,15.4,29.2,-99,235.1,97.5,103.5,42.9,106,19.4,10.1,18.4,16.1,420.5,246.2,268.4,-99,-99,2024-08-09
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0062401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024224,2024224,2024,89,9810,4140,4140,0,4954,0.02,20701,28.5,0.422,2.3,-99,-99,-99,-99,-99,0,0,421,386,140,246,5,44,53,1,40,-99,112,0,7,79,106,90,0.084,-99,-99,-99,-99,-99,-99,-99,-99,0,12789,12789,0,0,110432,110429,1031,0.0,34.9,35.1,70.3,-99,14.7,14.8,29.7,-99,245.2,87.4,103.5,36.9,108,19.1,10.1,17.4,16.1,420.5,281.0,279.7,-99,-99,2024-08-11
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0072401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024221,2024221,2024,89,8739,4140,4140,0,4954,0.02,20701,28.5,0.474,2.3,-99,-99,-99,-99,-99,0,0,361,365,127,238,2,44,15,1,40,-99,92,0,16,68,86,70,0.086,-99,-99,-99,-99,-99,-99,-99,-99,0,12800,12800,0,0,110553,110550,909,0.0,39.7,33.7,68.7,-99,18.8,16.0,32.5,-99,218.5,94.8,103.5,44.9,105,19.5,10.4,18.5,16.1,420.5,220.2,259.5,-99,-99,2024-08-08
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0082401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024219,2024219,2024,89,9796,4140,4140,0,4953,0.02,20701,28.5,0.423,2.3,-99,-99,-99,-99,-99,0,0,402,390,149,241,7,44,27,1,40,-99,104,0,11,75,98,82,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12793,12793,0,0,110482,110479,981,0.0,37.4,34.5,65.9,-99,15.8,14.6,27.8,-99,244.9,94.1,103.5,39.8,103,19.9,10.4,19.7,16.1,420.5,261.8,284.1,-99,-99,2024-08-06
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,C0092401,2024,JP_NRNP06A,43.983,144.241,175,2024001,2024108,2024116,2024181,2024223,2024223,2024,89,7917,4140,4140,0,4953,0.02,20701,28.5,0.523,2.3,-99,-99,-99,-99,-99,0,0,370,366,126,241,2,44,23,1,40,-99,103,0,10,73,97,81,0.085,-99,-99,-99,-99,-99,-99,-99,-99,0,12796,12795,0,0,110505,110502,958,0.0,34.6,30.4,62.9,-99,18.1,15.9,32.9,-99,197.9,77.0,103.5,40.3,107,19.1,10.2,17.6,16.1,420.5,229.1,260.4,-99,-99,2024-08-10
