,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0002401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024219,2024219,2024,89,7902,2906,2906,0,3479,0.02,14529,21.3,0.368,1.8,-99,-99,-99,-99,-99,0,0,377,349,119,229,12,12,71,1,40,-99,91,0,7,57,87,74,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110732,110725,734,0.0,28.2,30.1,66.2,-99,10.4,11.1,24.3,-99,197.6,86.5,72.6,31.8,103,20.1,10.4,17.2,16.2,419.6,280.5,262.5,-99,-99,1,2024-08-06
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0012401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024218,2024218,2024,89,7896,2885,2885,0,3457,0.0199,14528,21.3,0.365,1.8,-99,-99,-99,-99,-99,0,0,410,344,118,226,12,16,105,1,40,-99,91,0,7,57,87,74,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12810,0,0,110731,110725,735,0.0,25.2,30.7,67.2,-99,9.2,11.2,24.5,-99,197.4,86.6,72.1,31.6,102,20.2,10.6,16.8,16.2,419.6,313.2,257.3,-99,-99,1,2024-08-05
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0022401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024218,2024218,2024,89,7795,2905,2905,0,3478,0.02,14527,21.3,0.373,1.8,-99,-99,-99,-99,-99,0,0,314,335,110,225,1,12,32,1,40,-99,81,0,12,52,77,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12816,0,0,110796,110789,670,0.0,35.9,31.3,71.0,-99,13.4,11.7,26.5,-99,194.9,95.7,72.6,35.7,102,20.1,10.5,17.6,16.2,419.6,217.0,248.9,-99,-99,1,2024-08-05
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0032401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024219,2024219,2024,89,7768,2905,2905,0,3478,0.02,14527,21.3,0.374,1.8,-99,-99,-99,-99,-99,0,0,285,331,110,221,0,12,8,1,40,-99,77,0,13,50,72,59,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12818,0,0,110814,110808,651,0.0,41.3,31.8,70.7,-99,15.4,11.9,26.5,-99,194.2,101.4,72.6,37.9,103,20.1,10.4,17.8,16.2,419.6,188.3,244.5,-99,-99,1,2024-08-06
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0042401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024221,2024221,2024,89,7808,2906,2906,0,3478,0.02,14529,21.3,0.372,1.8,-99,-99,-99,-99,-99,0,0,354,338,111,227,4,12,67,1,40,-99,87,0,9,54,82,69,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110771,110764,695,0.0,30.3,31.0,70.5,-99,11.3,11.5,26.2,-99,195.2,90.2,72.6,33.6,105,19.7,10.3,16.8,16.1,419.6,257.8,252.0,-99,-99,1,2024-08-08
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0052401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024216,2024216,2024,89,7841,2905,2905,0,3478,0.02,14527,21.3,0.371,1.8,-99,-99,-99,-99,-99,0,0,308,338,119,218,0,12,24,1,40,-99,85,0,9,54,80,68,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110772,110765,694,0.0,37.1,31.2,65.7,-99,13.8,11.6,24.3,-99,196.0,92.2,72.6,34.2,100,20.5,10.7,17.5,16.2,419.6,211.1,251.3,-99,-99,1,2024-08-03
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0062401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024218,2024218,2024,89,7957,2905,2905,0,3478,0.02,14527,21.3,0.365,1.8,-99,-99,-99,-99,-99,0,0,338,351,121,230,1,12,41,1,40,-99,86,0,11,56,81,69,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110742,110736,724,0.0,32.9,30.1,65.7,-99,12.0,11.0,24.0,-99,198.9,92.5,72.6,33.8,102,20.3,10.7,17.7,16.2,419.6,241.8,264.6,-99,-99,1,2024-08-05
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0072401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024216,2024216,2024,89,7783,2905,2905,0,3478,0.02,14526,21.3,0.373,1.8,-99,-99,-99,-99,-99,0,0,377,343,116,227,4,12,84,1,40,-99,93,0,8,59,88,75,0.066,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110716,110710,750,0.0,27.8,30.3,67.0,-99,10.4,11.3,25.0,-99,194.6,84.0,72.6,31.4,100,20.6,11.0,17.0,16.2,419.6,280.3,257.2,-99,-99,1,2024-08-03
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0082401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024217,2024217,2024,89,7826,2905,2905,0,3478,0.02,14527,21.3,0.371,1.8,-99,-99,-99,-99,-99,0,0,339,340,114,226,7,12,47,1,40,-99,84,0,12,54,79,67,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110770,110763,696,0.0,32.2,30.9,68.6,-99,12.0,11.5,25.5,-99,195.7,93.2,72.6,34.6,101,20.4,10.7,17.7,16.2,419.6,242.7,253.5,-99,-99,1,2024-08-04
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0092401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024109,2024116,2024177,2024218,2024218,2024,89,8097,2906,2906,0,3478,0.02,14529,21.3,0.359,1.8,-99,-99,-99,-99,-99,0,0,325,348,122,226,2,12,30,1,40,-99,89,0,7,55,84,71,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110755,110748,711,0.0,35.4,31.0,66.4,-99,12.7,11.1,23.8,-99,202.4,91.2,72.6,32.7,102,20.1,10.5,17.6,16.2,419.6,228.8,261.4,-99,-99,1,2024-08-05
