,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0002401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024226,2024226,2024,89,7842,2378,2378,0,2886,0.0198,12004,24.0,0.303,1.3,-99,-99,-99,-99,-99,0,0,409,354,97,257,12,29,81,1,40,-99,88,1,14,62,83,71,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12806,0,0,110635,110630,827,0.0,27.1,32.3,81.2,-99,8.2,9.8,24.6,-99,196.1,89.1,59.5,27.0,96,21.1,11.7,16.8,16.2,419.6,289.2,243.1,-99,-99,1,2024-08-13
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0012401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024225,2024225,2024,89,7495,2401,2401,0,2908,0.02,12003,24.0,0.32,1.3,-99,-99,-99,-99,-99,0,0,468,353,95,258,17,89,75,1,40,-99,87,6,10,62,83,73,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12806,12805,0,0,110631,110626,831,0.0,21.5,31.0,78.7,-99,6.9,9.9,25.2,-99,187.4,85.8,60.0,27.5,95,21.4,12.2,16.6,16.2,419.6,348.1,241.9,-99,-99,1,2024-08-12
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0022401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024224,2024224,2024,89,6954,2400,2400,0,2908,0.02,12002,24.0,0.345,1.3,-99,-99,-99,-99,-99,0,0,381,344,91,253,16,13,75,1,40,-99,84,0,15,57,80,69,0.079,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110699,110694,763,0.0,26.6,29.9,76.7,-99,9.2,10.3,26.5,-99,173.9,83.3,60.0,28.7,94,21.4,12.1,17.6,16.2,419.6,261.8,232.6,-99,-99,1,2024-08-11
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0032401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024225,2024225,2024,89,6896,2401,2401,0,2908,0.02,12003,24.0,0.348,1.3,-99,-99,-99,-99,-99,0,0,297,334,87,247,0,11,18,1,40,-99,72,0,21,52,69,59,0.081,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12815,0,0,110743,110738,718,0.0,38.9,30.9,79.1,-99,13.5,10.8,27.5,-99,172.4,95.3,60.0,33.2,95,21.2,11.9,17.9,16.2,419.6,177.5,222.9,-99,-99,1,2024-08-12
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0042401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024229,2024229,2024,89,7570,2385,2385,0,2893,0.0199,12004,24.0,0.315,1.3,-99,-99,-99,-99,-99,0,0,389,355,94,261,6,30,65,1,40,-99,87,1,12,59,83,71,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110677,110672,784,0.0,28.1,31.0,80.9,-99,8.8,9.8,25.5,-99,189.2,86.9,59.6,27.4,99,20.5,11.4,17.0,16.2,419.6,269.8,243.9,-99,-99,1,2024-08-16
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0052401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024222,2024222,2024,89,7466,2401,2401,0,2908,0.02,12003,24.0,0.322,1.3,-99,-99,-99,-99,-99,0,0,314,340,97,243,0,11,28,1,40,-99,76,0,20,55,73,63,0.082,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110715,110710,747,0.0,38.4,32.6,76.7,-99,12.4,10.5,24.7,-99,186.7,97.8,60.0,31.4,92,21.8,12.3,17.5,16.3,419.6,194.2,229.2,-99,-99,1,2024-08-09
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0062401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024224,2024224,2024,89,8156,2401,2401,0,2908,0.02,12003,24.0,0.294,1.3,-99,-99,-99,-99,-99,0,0,350,361,100,261,1,11,43,1,40,-99,90,0,13,61,85,74,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110644,110639,818,0.0,35.3,32.6,81.2,-99,10.4,9.6,23.9,-99,203.9,90.9,60.0,26.8,94,21.6,12.2,17.7,16.2,419.6,230.8,250.1,-99,-99,1,2024-08-11
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0072401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024221,2024221,2024,89,7044,2400,2400,0,2908,0.02,12002,24.0,0.341,1.3,-99,-99,-99,-99,-99,0,0,453,346,92,253,23,59,90,1,40,-99,89,4,12,63,84,73,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110625,110621,836,0.0,21.1,30.0,76.4,-99,7.2,10.2,26.0,-99,176.1,79.5,60.0,27.1,91,22.0,12.7,16.7,16.3,419.6,333.1,234.7,-99,-99,1,2024-08-08
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0082401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024223,2024223,2024,89,7260,2400,2400,0,2908,0.02,12002,24.0,0.331,1.3,-99,-99,-99,-99,-99,0,0,340,346,93,252,7,11,43,1,40,-99,86,0,14,59,82,72,0.08,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110666,110662,795,0.0,32.9,30.9,77.8,-99,10.9,10.2,25.7,-99,181.5,84.3,60.0,27.9,93,21.9,12.3,17.8,16.3,419.6,220.8,234.7,-99,-99,1,2024-08-10
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0092401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024123,2024130,2024184,2024225,2024225,2024,89,8057,2401,2401,0,2909,0.02,12004,24.0,0.298,1.3,-99,-99,-99,-99,-99,0,0,325,351,100,251,2,11,27,1,40,-99,82,0,15,57,78,68,0.083,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12811,0,0,110695,110690,767,0.0,39.1,33.6,80.5,-99,11.7,10.0,24.0,-99,201.4,98.1,60.0,29.2,95,21.2,11.9,17.6,16.2,419.6,205.9,240.1,-99,-99,1,2024-08-12
