,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,328,358,121,237,1,27,8,1,40,-99,81,0,11,52,76,61,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110809,110805,654,0.0,33.4,28.4,62.7,-99,19.6,16.7,36.8,-99,189.8,93.7,111.3,55.0,110,19.7,9.6,17.3,16.0,419.6,227.4,267.3,-99,-99,1,2024-07-31
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7593,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,346,363,121,242,1,27,22,1,40,-99,84,0,10,53,79,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110798,110794,665,0.0,30.9,28.0,62.6,-99,18.1,16.4,36.7,-99,189.8,90.3,111.3,53.0,110,19.6,9.5,17.3,16.0,419.6,245.6,271.6,-99,-99,1,2024-07-31
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,354,361,121,241,2,27,30,1,40,-99,83,0,12,53,77,63,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12815,0,0,110807,110804,656,0.0,30.0,28.1,62.9,-99,17.6,16.5,36.9,-99,189.8,92.0,111.3,54.0,110,19.6,9.5,17.2,16.0,419.6,253.5,270.1,-99,-99,1,2024-07-31
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,331,360,121,239,1,27,10,1,40,-99,82,0,11,53,77,62,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110805,110802,657,0.0,33.0,28.2,62.9,-99,19.3,16.6,36.9,-99,189.8,92.4,111.3,54.2,110,19.5,9.5,17.2,16.0,419.6,230.4,268.8,-99,-99,1,2024-07-31
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7593,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,356,362,121,241,1,27,33,1,40,-99,84,0,10,53,79,64,0.067,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110799,110796,664,0.0,29.7,28.1,62.9,-99,17.4,16.5,36.9,-99,189.8,90.3,111.3,53.0,110,19.6,9.5,17.1,16.0,419.6,255.3,270.4,-99,-99,1,2024-07-31
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,377,363,121,242,10,27,44,1,40,-99,85,0,9,53,80,66,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110797,110794,665,0.0,27.5,27.9,62.8,-99,16.1,16.4,36.8,-99,189.8,89.1,111.3,52.3,110,19.6,9.6,17.2,16.0,419.6,276.5,272.1,-99,-99,1,2024-07-31
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024212,2024212,2024,89,7591,4454,4454,0,4913,0.0186,23944,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,327,357,121,236,1,27,9,1,40,-99,81,0,11,52,75,61,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110814,110811,648,0.0,33.5,28.6,62.9,-99,19.7,16.8,36.9,-99,189.8,94.2,111.3,55.2,109,19.7,9.6,17.3,16.0,419.6,226.4,265.6,-99,-99,1,2024-07-30
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7593,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,342,362,121,241,1,27,19,1,40,-99,82,0,11,53,77,63,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110804,110800,659,0.0,31.4,28.1,62.8,-99,18.4,16.5,36.9,-99,189.8,92.2,111.3,54.1,110,19.6,9.5,17.1,16.0,419.6,241.8,270.4,-99,-99,1,2024-07-31
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7593,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,337,361,121,240,1,27,14,1,40,-99,82,0,12,53,77,63,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110805,110802,658,0.0,32.1,28.1,62.7,-99,18.8,16.5,36.8,-99,189.8,92.2,111.3,54.1,110,19.7,9.6,17.2,16.0,419.6,236.3,270.2,-99,-99,1,2024-07-31
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,340,361,121,240,1,27,18,1,40,-99,83,0,11,53,78,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110802,110799,661,0.0,31.7,28.2,62.8,-99,18.6,16.5,36.8,-99,189.8,91.2,111.3,53.5,110,19.6,9.5,17.2,16.0,419.6,239.4,269.4,-99,-99,1,2024-07-31
10,11,11,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0102401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7593,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,330,358,121,237,1,27,10,1,40,-99,81,0,11,52,76,61,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110809,110805,654,0.0,33.1,28.4,62.7,-99,19.4,16.7,36.8,-99,189.8,93.8,111.3,55.0,110,19.6,9.5,17.3,16.0,419.6,229.4,267.2,-99,-99,1,2024-07-31
11,12,12,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0112401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024212,2024212,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,328,357,121,237,1,27,9,1,40,-99,81,0,11,52,76,61,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110813,110810,649,0.0,33.4,28.5,62.9,-99,19.6,16.7,36.9,-99,189.8,93.8,111.3,55.1,109,19.6,9.5,17.2,16.0,419.6,227.5,266.2,-99,-99,1,2024-07-30
12,13,13,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0122401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024212,2024212,2024,89,7591,4454,4454,0,4913,0.0186,23944,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,326,357,121,236,1,27,8,1,40,-99,81,0,11,52,75,61,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110815,110812,648,0.0,33.7,28.6,62.9,-99,19.8,16.8,36.9,-99,189.8,94.2,111.3,55.3,109,19.7,9.5,17.4,16.0,419.6,225.4,265.6,-99,-99,1,2024-07-30
13,14,14,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0132401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024212,2024212,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,342,362,121,241,1,27,18,1,40,-99,83,0,11,53,78,63,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110805,110802,657,0.0,31.5,28.1,62.8,-99,18.5,16.5,36.9,-99,189.8,91.4,111.3,53.6,109,19.7,9.5,17.3,16.0,419.6,240.9,270.6,-99,-99,1,2024-07-30
14,15,15,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0142401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,348,360,120,240,1,27,26,1,40,-99,84,0,10,53,78,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110798,110795,665,0.0,30.7,28.2,63.0,-99,18.0,16.6,37.0,-99,189.8,90.7,111.3,53.2,110,19.5,9.5,17.0,16.0,419.6,247.2,268.8,-99,-99,1,2024-07-31
15,16,16,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0152401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024099,2024103,2024170,2024213,2024213,2024,89,7592,4454,4454,0,4913,0.0186,23945,41.5,0.587,1.8,-99,-99,-99,-99,-99,0,0,338,361,121,240,1,27,16,1,40,-99,84,0,11,53,78,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110798,110795,665,0.0,31.9,28.1,63.0,-99,18.7,16.5,36.9,-99,189.8,90.8,111.3,53.2,110,19.6,9.6,17.1,16.0,419.6,237.8,269.8,-99,-99,1,2024-07-31
