,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024223,2024223,2024,89,6447,3486,3486,0,4072,0.0186,18740,32.4,0.541,1.5,-99,-99,-99,-99,-99,0,0,368,371,102,268,1,33,30,1,40,-99,83,0,19,61,79,68,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110683,110676,784,0.0,29.3,26.3,63.0,-99,15.9,14.2,34.1,-99,161.2,77.4,87.1,41.8,95,21.7,11.9,18.0,16.2,419.6,219.8,245.1,-99,-99,1,2024-08-10
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024225,2024225,2024,89,6475,3486,3486,0,4072,0.0186,18741,32.4,0.538,1.5,-99,-99,-99,-99,-99,0,0,429,379,106,272,8,50,60,1,40,-99,93,2,9,63,89,78,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12804,0,0,110656,110649,811,0.0,23.0,25.6,60.9,-99,12.4,13.8,32.8,-99,161.9,69.5,87.1,37.4,97,21.3,11.6,17.7,16.2,419.6,281.3,253.0,-99,-99,1,2024-08-12
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024225,2024225,2024,89,6465,3443,3443,0,4030,0.0184,18741,32.4,0.533,1.5,-99,-99,-99,-99,-99,0,0,476,379,105,274,16,83,65,1,40,-99,92,4,8,63,88,76,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110664,110657,803,0.0,19.7,25.5,61.8,-99,10.5,13.6,32.9,-99,161.6,70.5,86.1,37.6,97,21.3,11.6,17.7,16.2,419.6,327.5,253.3,-99,-99,1,2024-08-12
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024226,2024226,2024,89,6452,3486,3486,0,4072,0.0186,18741,32.4,0.54,1.5,-99,-99,-99,-99,-99,0,0,409,377,105,272,9,33,57,1,40,-99,91,0,12,63,87,76,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110660,110652,807,0.0,24.7,25.6,61.4,-99,13.4,13.9,33.2,-99,161.3,70.6,87.1,38.1,98,21.3,11.6,17.7,16.2,419.6,261.1,251.6,-99,-99,1,2024-08-13
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024225,2024225,2024,89,6490,3486,3486,0,4072,0.0186,18741,32.4,0.537,1.5,-99,-99,-99,-99,-99,0,0,369,373,107,267,1,33,29,1,40,-99,92,0,11,63,88,77,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110660,110653,807,0.0,29.4,26.2,60.9,-99,15.8,14.1,32.7,-99,162.2,70.7,87.1,37.9,97,21.5,11.7,17.8,16.2,419.6,221.0,247.8,-99,-99,1,2024-08-12
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024224,2024224,2024,89,6483,3486,3486,0,4072,0.0186,18740,32.4,0.538,1.5,-99,-99,-99,-99,-99,0,0,434,376,105,270,11,52,61,1,40,-99,95,2,9,65,91,80,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12803,0,0,110643,110635,824,0.0,22.7,25.9,61.6,-99,12.2,13.9,33.1,-99,162.1,68.2,87.1,36.7,96,21.7,11.9,17.6,16.2,419.6,285.6,250.0,-99,-99,1,2024-08-11
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024222,2024222,2024,89,6431,3485,3485,0,4072,0.0186,18739,32.4,0.542,1.5,-99,-99,-99,-99,-99,0,0,389,359,98,260,13,33,51,1,40,-99,79,0,22,58,75,63,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12811,12810,0,0,110720,110713,746,0.0,26.7,27.6,65.4,-99,14.4,14.9,35.4,-99,160.8,81.7,87.1,44.3,94,22.0,12.1,17.7,16.2,419.6,241.3,233.3,-99,-99,1,2024-08-09
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024224,2024224,2024,89,6466,3486,3486,0,4072,0.0186,18741,32.4,0.539,1.5,-99,-99,-99,-99,-99,0,0,415,380,106,274,11,33,57,1,40,-99,93,0,11,63,89,78,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12804,0,0,110655,110648,811,0.0,24.2,25.4,60.7,-99,13.0,13.7,32.7,-99,161.7,69.3,87.1,37.4,96,21.4,11.7,17.8,16.2,419.6,267.3,254.8,-99,-99,1,2024-08-11
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024223,2024223,2024,89,6459,3486,3486,0,4072,0.0186,18741,32.4,0.54,1.5,-99,-99,-99,-99,-99,0,0,357,372,105,267,1,33,18,1,40,-99,82,0,20,61,78,67,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12807,0,0,110683,110675,784,0.0,30.9,26.2,61.7,-99,16.7,14.2,33.3,-99,161.5,78.7,87.1,42.5,95,21.6,11.9,17.8,16.2,419.6,208.7,246.1,-99,-99,1,2024-08-10
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024121,2024128,2024183,2024225,2024225,2024,89,6462,3486,3486,0,4072,0.0186,18741,32.4,0.539,1.5,-99,-99,-99,-99,-99,0,0,365,377,106,271,1,33,21,1,40,-99,87,0,16,63,83,72,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12805,12805,0,0,110662,110655,805,0.0,29.8,25.7,60.7,-99,16.0,13.8,32.7,-99,161.5,74.3,87.1,40.1,97,21.4,11.6,17.8,16.2,419.6,217.2,251.9,-99,-99,1,2024-08-12
