,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0002401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024218,2024218,2024,89,6483,2808,2808,0,3408,0.02,14039,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,339,335,107,228,4,12,55,1,40,-99,79,0,14,51,74,62,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12817,0,0,110797,110791,667,0.0,26.9,26.6,60.5,-99,11.7,11.5,26.2,-99,162.1,82.5,70.2,35.7,101,20.4,10.8,17.6,16.2,419.6,240.8,243.9,-99,-99,1,2024-08-05
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0012401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024219,2024219,2024,89,6485,2808,2808,0,3409,0.02,14040,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,328,334,107,228,6,12,42,1,40,-99,76,0,14,50,72,59,0.07,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12818,0,0,110811,110805,653,0.0,28.2,26.7,60.8,-99,12.2,11.6,26.3,-99,162.1,85.7,70.2,37.1,102,20.2,10.7,18.0,16.2,419.6,229.6,242.9,-99,-99,1,2024-08-06
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0022401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024219,2024219,2024,89,6485,2808,2808,0,3409,0.02,14039,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,301,342,110,232,0,12,14,1,40,-99,81,0,12,53,77,64,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110775,110770,688,0.0,32.0,25.9,58.9,-99,13.8,11.2,25.5,-99,162.1,80.1,70.2,34.7,102,20.3,10.5,17.7,16.2,419.6,202.8,250.3,-99,-99,1,2024-08-06
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0032401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024218,2024218,2024,89,6483,2808,2808,0,3409,0.02,14040,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,288,332,107,226,0,12,10,1,40,-99,76,0,14,50,72,59,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12818,0,0,110809,110803,655,0.0,34.3,26.9,60.9,-99,14.8,11.7,26.4,-99,162.1,85.7,70.2,37.1,101,20.4,10.6,17.9,16.2,419.6,189.1,240.7,-99,-99,1,2024-08-05
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0042401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024217,2024217,2024,89,6481,2808,2808,0,3408,0.02,14038,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,304,337,108,229,0,12,22,1,40,-99,81,0,13,53,77,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12815,0,0,110779,110774,684,0.0,31.5,26.4,59.9,-99,13.6,11.4,25.9,-99,162.0,80.1,70.2,34.7,100,20.4,10.9,17.5,16.2,419.6,205.8,245.6,-99,-99,1,2024-08-04
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0052401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024220,2024220,2024,89,6485,2802,2802,0,3403,0.02,14040,21.9,0.432,1.7,-99,-99,-99,-99,-99,0,0,293,339,109,230,0,12,8,1,40,-99,78,0,13,52,74,62,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12816,0,0,110791,110786,672,0.0,33.4,26.2,59.7,-99,14.4,11.3,25.8,-99,162.1,82.8,70.1,35.8,103,20.1,10.4,17.6,16.2,419.6,194.1,247.3,-99,-99,1,2024-08-07
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0062401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024217,2024217,2024,89,6491,2808,2808,0,3408,0.02,14039,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,311,344,110,234,0,12,22,1,40,-99,81,0,13,52,76,64,0.068,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12816,0,0,110782,110776,682,0.0,30.5,25.7,59.1,-99,13.2,11.1,25.6,-99,162.3,80.6,70.2,34.9,100,20.4,10.8,17.8,16.2,419.6,212.9,252.6,-99,-99,1,2024-08-04
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0072401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024217,2024217,2024,89,6486,2808,2808,0,3408,0.02,14039,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,305,342,110,232,0,12,17,1,40,-99,81,0,12,52,77,64,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12815,0,0,110781,110776,682,0.0,31.5,25.9,59.0,-99,13.6,11.2,25.5,-99,162.2,80.2,70.2,34.7,100,20.6,10.8,17.7,16.2,419.6,206.2,250.8,-99,-99,1,2024-08-04
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0082401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024218,2024218,2024,89,6484,2808,2808,0,3409,0.02,14040,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,325,336,107,229,4,12,39,1,40,-99,77,0,14,50,73,60,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12818,12817,0,0,110804,110798,660,0.0,28.6,26.5,60.5,-99,12.4,11.5,26.2,-99,162.1,84.5,70.2,36.6,101,20.3,10.6,17.9,16.2,419.6,226.5,245.0,-99,-99,1,2024-08-05
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0092401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024115,2024117,2024178,2024218,2024218,2024,89,6484,2808,2808,0,3409,0.02,14039,21.9,0.433,1.7,-99,-99,-99,-99,-99,0,0,296,338,109,229,0,12,13,1,40,-99,78,0,13,52,74,62,0.069,-99,-99,-99,-99,-99,-99,-99,-99,0,12817,12816,0,0,110790,110785,673,0.0,32.8,26.3,59.8,-99,14.2,11.4,25.9,-99,162.1,82.9,70.2,35.9,101,20.5,10.7,17.9,16.2,419.6,197.4,246.2,-99,-99,1,2024-08-05
