,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0002401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024222,2024222,2024,89,7493,2511,2511,0,3147,0.02,12554,29.7,0.335,1.3,-99,-99,-99,-99,-99,0,0,369,344,96,248,9,19,65,1,40,-99,83,0,13,55,80,69,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110734,110729,728,0.0,28.6,31.5,78.3,-99,9.6,10.5,26.2,-99,187.3,89.7,62.8,30.1,95,21.1,11.8,17.5,16.2,419.6,261.7,238.1,-99,-99,1,2024-08-09
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0012401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024223,2024223,2024,89,7486,2511,2511,0,3147,0.02,12555,29.7,0.335,1.3,-99,-99,-99,-99,-99,0,0,355,340,94,246,6,13,63,1,40,-99,81,0,14,53,77,66,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12815,0,0,110755,110750,706,0.0,30.3,32.0,79.7,-99,10.2,10.7,26.7,-99,187.1,92.6,62.8,31.1,96,20.8,11.6,17.8,16.2,419.6,247.2,233.9,-99,-99,1,2024-08-10
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0022401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024224,2024224,2024,89,7799,2511,2511,0,3147,0.02,12555,29.7,0.322,1.3,-99,-99,-99,-99,-99,0,0,303,345,100,245,0,13,11,1,40,-99,80,0,15,55,76,66,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12813,0,0,110742,110737,720,0.0,40.0,32.6,78.2,-99,12.9,10.5,25.2,-99,195.0,97.7,62.8,31.4,97,20.9,11.3,17.8,16.2,419.6,195.0,239.3,-99,-99,1,2024-08-11
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0032401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024223,2024223,2024,89,7434,2511,2511,0,3147,0.02,12555,29.7,0.338,1.3,-99,-99,-99,-99,-99,0,0,324,339,94,245,1,13,37,1,40,-99,80,0,15,54,76,66,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12815,12814,0,0,110752,110747,710,0.0,34.4,31.8,79.3,-99,11.6,10.8,26.8,-99,185.8,92.8,62.8,31.3,96,21.0,11.7,17.5,16.2,419.6,215.8,233.4,-99,-99,1,2024-08-10
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0042401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024222,2024222,2024,89,7520,2511,2511,0,3146,0.02,12553,29.7,0.334,1.3,-99,-99,-99,-99,-99,0,0,304,342,98,244,0,13,16,1,40,-99,81,0,15,56,78,67,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12812,0,0,110726,110721,736,0.0,38.3,31.9,76.8,-99,12.8,10.6,25.7,-99,188.0,92.3,62.8,30.8,95,21.0,12.1,17.1,16.2,419.6,196.6,235.8,-99,-99,1,2024-08-09
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0052401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024224,2024224,2024,89,7634,2474,2474,0,3110,0.0197,12555,29.7,0.324,1.3,-99,-99,-99,-99,-99,0,0,293,339,95,244,0,13,7,1,40,-99,76,0,16,52,72,62,0.073,-99,-99,-99,-99,-99,-99,-99,-99,0,12816,12815,0,0,110765,110761,696,0.0,41.3,32.7,80.2,-99,13.4,10.6,26.0,-99,190.9,100.6,61.9,32.6,97,20.7,11.2,17.8,16.2,419.6,184.9,233.3,-99,-99,1,2024-08-11
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0062401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024222,2024222,2024,89,7786,2511,2511,0,3147,0.02,12554,29.7,0.322,1.3,-99,-99,-99,-99,-99,0,0,311,352,101,251,0,13,13,1,40,-99,82,0,14,56,79,68,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12812,12811,0,0,110720,110715,742,0.0,38.2,31.6,76.8,-99,12.3,10.2,24.8,-99,194.6,94.5,62.8,30.5,95,21.1,11.8,18.0,16.2,419.6,203.7,246.2,-99,-99,1,2024-08-09
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0072401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024221,2024221,2024,89,7656,2511,2511,0,3147,0.02,12554,29.7,0.328,1.3,-99,-99,-99,-99,-99,0,0,330,346,100,247,1,13,37,1,40,-99,80,0,15,55,76,66,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110739,110734,723,0.0,34.4,31.8,76.7,-99,11.3,10.4,25.1,-99,191.4,95.8,62.8,31.4,94,21.3,11.8,17.5,16.3,419.6,222.3,240.7,-99,-99,1,2024-08-08
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0082401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024222,2024222,2024,89,7516,2511,2511,0,3147,0.02,12555,29.7,0.334,1.3,-99,-99,-99,-99,-99,0,0,370,343,95,248,11,13,69,1,40,-99,82,0,14,54,78,68,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110745,110740,717,0.0,28.7,31.7,78.7,-99,9.6,10.6,26.3,-99,187.9,91.4,62.8,30.6,95,21.0,11.6,17.7,16.2,419.6,261.8,237.2,-99,-99,1,2024-08-09
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,N0092401,2024,JP_NRNP06A,44.064,144.092,55,2024001,2024120,2024127,2024182,2024221,2024221,2024,89,7496,2511,2511,0,3147,0.02,12554,29.7,0.335,1.3,-99,-99,-99,-99,-99,0,0,345,344,96,247,5,13,49,1,40,-99,81,0,16,54,77,66,0.072,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110746,110741,716,0.0,31.7,31.5,77.7,-99,10.6,10.6,26.0,-99,187.4,92.9,62.8,31.1,94,21.2,11.7,17.9,16.3,419.6,236.8,237.9,-99,-99,1,2024-08-08
