,RUNNO,TRNO,R#,O#,P#,CR,MODEL...,EXNAME..,TNAM.....................,FNAM....,WSTA....,WYEAR,SOIL_ID...,XLAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST,MDAT_datetime
0,1,1,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0002401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024227,2024227,2024,89,6356,3292,3292,0,3805,0.0186,17697,31.0,0.518,1.6,-99,-99,-99,-99,-99,0,0,401,364,96,267,5,30,67,1,40,-99,91,0,12,62,87,76,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12807,12806,0,0,110669,110661,799,0.0,25.2,26.7,65.9,-99,13.0,13.8,34.1,-99,158.9,70.0,82.3,36.2,99,21.3,11.7,17.3,16.2,419.6,252.4,238.3,-99,-99,1,2024-08-14
1,2,2,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0012401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024226,2024226,2024,89,6570,3292,3292,0,3805,0.0186,17697,31.0,0.501,1.6,-99,-99,-99,-99,-99,0,0,385,356,92,264,9,30,56,1,40,-99,87,0,12,58,83,72,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12810,12810,0,0,110708,110700,760,0.0,27.7,28.5,71.3,-99,13.9,14.3,35.7,-99,164.2,75.3,82.3,37.7,98,21.4,11.7,17.5,16.2,419.6,237.1,230.6,-99,-99,1,2024-08-13
2,3,3,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0022401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024224,2024224,2024,89,6510,3293,3293,0,3806,0.0186,17697,31.0,0.506,1.6,-99,-99,-99,-99,-99,0,0,344,353,91,261,0,30,27,1,40,-99,83,0,17,59,79,68,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12809,12809,0,0,110698,110690,770,0.0,33.3,28.7,71.2,-99,16.8,14.5,36.0,-99,162.7,78.1,82.3,39.5,96,21.6,12.1,17.2,16.2,419.6,195.7,227.0,-99,-99,1,2024-08-11
3,4,4,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0032401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024223,2024223,2024,89,6213,3292,3292,0,3805,0.0186,17697,31.0,0.53,1.6,-99,-99,-99,-99,-99,0,0,314,343,89,255,0,30,7,1,40,-99,75,0,20,55,71,60,0.076,-99,-99,-99,-99,-99,-99,-99,-99,0,12813,12813,0,0,110741,110733,727,0.0,37.4,28.6,70.1,-99,19.8,15.1,37.2,-99,155.3,83.0,82.3,44.0,95,22.0,12.2,18.0,16.2,419.6,166.3,217.5,-99,-99,1,2024-08-10
4,5,5,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0042401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024225,2024225,2024,89,7335,3292,3292,0,3805,0.0186,17697,31.0,0.449,1.6,-99,-99,-99,-99,-99,0,0,376,377,109,268,1,30,34,1,40,-99,96,0,9,65,92,81,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12803,0,0,110637,110629,832,0.0,32.2,29.2,67.0,-99,14.5,13.1,30.1,-99,183.4,76.4,82.3,34.3,97,21.7,12.0,17.3,16.2,419.6,227.7,251.6,-99,-99,1,2024-08-12
5,6,6,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0052401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024228,2024228,2024,89,7553,3292,3292,0,3805,0.0186,17697,31.0,0.436,1.6,-99,-99,-99,-99,-99,0,0,428,386,112,274,5,42,61,1,40,-99,99,1,7,66,94,83,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12802,0,0,110628,110620,840,0.0,26.9,29.0,67.6,-99,11.7,12.6,29.4,-99,188.8,76.6,82.3,33.4,100,21.0,11.4,17.6,16.2,419.6,280.3,260.5,-99,-99,1,2024-08-15
6,7,7,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0062401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024225,2024225,2024,89,6635,3292,3292,0,3805,0.0186,17697,31.0,0.496,1.6,-99,-99,-99,-99,-99,0,0,371,370,101,269,0,30,37,1,40,-99,95,0,10,65,90,79,0.074,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12803,0,0,110637,110629,831,0.0,29.8,27.1,65.6,-99,14.8,13.5,32.5,-99,165.9,70.2,82.3,34.8,97,21.7,12.1,17.6,16.2,419.6,222.7,244.5,-99,-99,1,2024-08-12
7,8,8,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0072401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024232,2024232,2024,89,6895,3154,3154,0,3667,0.0178,17697,31.0,0.457,1.6,-99,-99,-99,-99,-99,0,0,335,355,93,261,0,30,16,1,40,-99,77,0,19,54,72,61,0.077,-99,-99,-99,-99,-99,-99,-99,-99,0,12814,12814,0,0,110753,110745,715,0.0,37.0,30.1,73.9,-99,16.9,13.8,33.8,-99,172.4,90.0,78.9,41.2,104,20.6,10.9,17.6,16.1,419.6,186.4,229.1,-99,-99,1,2024-08-19
8,9,9,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0082401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024228,2024228,2024,89,6959,3292,3292,0,3805,0.0186,17697,31.0,0.473,1.6,-99,-99,-99,-99,-99,0,0,396,368,102,266,5,33,57,1,40,-99,96,0,9,65,92,81,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12803,12803,0,0,110631,110624,837,0.0,28.0,28.7,68.0,-99,13.3,13.6,32.2,-99,174.0,72.2,82.3,34.2,100,21.3,11.8,16.8,16.2,419.6,248.2,242.3,-99,-99,1,2024-08-15
9,10,10,1,0,1,BA,CSCER048,ABSR2401,Sim1,-99,S0092401,2024,JP_NRNP06A,43.894,144.372,17,2024001,2024122,2024128,2024185,2024229,2024229,2024,89,7153,3240,3240,0,3753,0.0183,17697,31.0,0.453,1.6,-99,-99,-99,-99,-99,0,0,378,375,106,270,1,30,38,1,40,-99,97,0,8,64,92,81,0.075,-99,-99,-99,-99,-99,-99,-99,-99,0,12804,12803,0,0,110639,110631,829,0.0,31.1,28.6,67.7,-99,14.1,13.0,30.6,-99,178.8,73.9,81.0,33.5,101,20.9,11.3,17.3,16.2,419.6,230.0,249.9,-99,-99,1,2024-08-16
